{'position': {'x': 3355.487305, 'y': 139.992676, 'z': -2991.549316}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3877.557861, 'y': 166.148285, 'z': -2968.02124}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4053.769531, 'y': 164.871201, 'z': -3157.083252}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3680.143311, 'y': 141.269699, 'z': -3404.092529}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4005.967285, 'y': 136.163284, 'z': -2926.706299}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4035.935059, 'y': 136.959305, 'z': -2897.064209}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4510.510254, 'y': 115.157356, 'z': -3100.318604}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4386.629395, 'y': 115.076141, 'z': -3063.443359}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3350.366211, 'y': 150.003052, 'z': -3072.65918}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4424.145996, 'y': 27.0, 'z': -2828.35498}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3402.967773, 'y': 144.997864, 'z': -2955.141357}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3669.204102, 'y': 150.003052, 'z': -3290.740479}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4001.387207, 'y': 72.914528, 'z': -2797.327148}, 'level_range': {'x': 22.0, 'y': 24.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 14}
{'position': {'x': 3543.628174, 'y': 162.573608, 'z': -2939.623535}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3534.946533, 'y': 149.677185, 'z': -2776.855713}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3698.567627, 'y': 150.026947, 'z': -3273.074707}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3613.817627, 'y': 150.033569, 'z': -3168.883789}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3859.8479, 'y': 150.003052, 'z': -3217.222656}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3735.361816, 'y': 150.003052, 'z': -3349.898193}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3383.379883, 'y': 150.003052, 'z': -3082.568115}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4485.969238, 'y': 27.0, 'z': -2953.436768}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3757.725586, 'y': 157.117966, 'z': -2834.063477}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3857.640137, 'y': 107.621948, 'z': -2690.664063}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'mine', 'substance': 'yuki', 'area_no': 14}
{'position': {'x': 3615.840576, 'y': 139.185852, 'z': -2886.351074}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 14}
{'position': {'x': 3821.896973, 'y': 150.039932, 'z': -3124.199707}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3745.197266, 'y': 163.792175, 'z': -2933.104736}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4401.210938, 'y': 27.0, 'z': -2911.967285}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3532.067871, 'y': 151.632187, 'z': -3241.478271}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3629.291748, 'y': 149.740005, 'z': -2770.081543}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3662.527588, 'y': 150.003052, 'z': -3169.345947}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3266.328857, 'y': 150.064102, 'z': -2816.590332}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'town', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3749.107666, 'y': 150.411392, 'z': -3114.863525}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4267.766113, 'y': 128.833542, 'z': -2945.083496}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4061.373047, 'y': 174.998474, 'z': -3208.716064}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3930.807129, 'y': 99.738335, 'z': -2680.592041}, 'level_range': {'x': 22.0, 'y': 24.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 14}
{'position': {'x': 3675.709961, 'y': 150.003052, 'z': -3228.677734}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4221.716309, 'y': 115.088814, 'z': -3022.871582}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3693.879395, 'y': 151.305405, 'z': -3070.817627}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3843.53125, 'y': 163.695541, 'z': -2912.011963}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4515.53418, 'y': 27.0, 'z': -2954.578369}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3890.577148, 'y': 165.92514, 'z': -2962.2854}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 14}
{'position': {'x': 3757.023193, 'y': 150.003052, 'z': -3343.775146}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3677.857422, 'y': 141.892761, 'z': -3415.151855}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3586.939941, 'y': 144.997894, 'z': -3329.947021}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 14}
{'position': {'x': 3841.396973, 'y': 150.33992, 'z': -3254.530273}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3643.510498, 'y': 150.02037, 'z': -3257.633789}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3543.20874, 'y': 150.09462, 'z': -2994.087158}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3630.128174, 'y': 150.219208, 'z': -3101.455322}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3187.033691, 'y': 144.997864, 'z': -2937.206299}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3545.819824, 'y': 150.007156, 'z': -3022.40332}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3454.136475, 'y': 150.003052, 'z': -3031.412598}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4109.47998, 'y': 153.115967, 'z': -3166.997803}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3998.177002, 'y': 114.997253, 'z': -3074.824463}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4037.960449, 'y': 136.678787, 'z': -2931.353271}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3382.96167, 'y': 150.003052, 'z': -3114.81665}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3657.928223, 'y': 150.003052, 'z': -2732.684082}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3628.930664, 'y': 150.272766, 'z': -2710.555664}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3911.10376, 'y': 145.004959, 'z': -3155.494141}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3933.325195, 'y': 150.003052, 'z': -3171.525391}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3221.679199, 'y': 144.992126, 'z': -2924.563477}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3325.590576, 'y': 150.003052, 'z': -3064.825439}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3514.546631, 'y': 151.289459, 'z': -3301.407227}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3866.247559, 'y': 162.373886, 'z': -3093.70874}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4341.907227, 'y': 115.559906, 'z': -3147.713135}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3876.287842, 'y': 136.570053, 'z': -2785.523682}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4308.399902, 'y': 131.983307, 'z': -3128.421387}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3490.541992, 'y': 150.033569, 'z': -3043.962891}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4045.639404, 'y': 144.997894, 'z': -3246.522949}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 14}
{'position': {'x': 3462.784668, 'y': 149.91481, 'z': -3110.358154}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3588.919189, 'y': 150.064102, 'z': -3161.903809}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3801.038086, 'y': 150.003052, 'z': -3240.322021}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3333.782227, 'y': 150.003052, 'z': -3082.893799}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3807.494873, 'y': 161.346085, 'z': -2805.380859}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3253.585449, 'y': 150.201553, 'z': -2888.817383}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4079.541992, 'y': 136.568726, 'z': -2956.816406}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4337.680664, 'y': 105.558403, 'z': -3055.953857}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3477.061279, 'y': 145.006622, 'z': -2750.791016}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3753.111084, 'y': 151.58107, 'z': -3303.71167}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3496.445557, 'y': 149.636826, 'z': -3057.501465}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3783.600098, 'y': 150.147507, 'z': -3281.513428}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3469.200195, 'y': 150.003052, 'z': -3240.854736}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3642.271484, 'y': 150.003052, 'z': -2747.321777}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3648.732666, 'y': 130.012817, 'z': -3367.304443}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3511.256348, 'y': 150.084595, 'z': -2754.562012}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4185.28125, 'y': 120.002441, 'z': -3038.564697}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3342.265137, 'y': 150.003052, 'z': -3112.387939}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3716.643799, 'y': 152.849594, 'z': -3096.590088}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4325.304688, 'y': 109.649521, 'z': -3174.2146}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4440.602539, 'y': 99.854614, 'z': -3182.564453}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 14}
{'position': {'x': 3172.719971, 'y': 144.997864, 'z': -2926.936768}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3597.099365, 'y': 147.260559, 'z': -2807.820068}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3579.340088, 'y': 150.71106, 'z': -3090.626465}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3817.794189, 'y': 150.003052, 'z': -3073.839355}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3638.874268, 'y': 150.003052, 'z': -3325.03125}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3803.064209, 'y': 150.003052, 'z': -3073.908691}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3866.473633, 'y': 165.845993, 'z': -3007.04126}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3744.147949, 'y': 153.956512, 'z': -2835.45874}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3642.951172, 'y': 150.003052, 'z': -2754.371582}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3779.440674, 'y': 150.003052, 'z': -3085.589355}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3711.707275, 'y': 150.678757, 'z': -3104.584473}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3475.401123, 'y': 170.562546, 'z': -2951.273193}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3875.129639, 'y': 166.710388, 'z': -2998.878906}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3531.803711, 'y': 150.003052, 'z': -3072.0625}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3596.668701, 'y': 144.997894, 'z': -3330.791016}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 14}
{'position': {'x': 3732.067383, 'y': 154.771957, 'z': -3096.56665}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3172.436768, 'y': 144.997864, 'z': -2965.782227}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4375.998535, 'y': 120.392403, 'z': -3149.077393}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4021.795654, 'y': 160.216782, 'z': -3116.980225}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3479.387695, 'y': 150.207581, 'z': -3249.874023}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3560.714111, 'y': 164.687988, 'z': -3193.133545}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3447.792236, 'y': 150.045258, 'z': -3186.688721}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3570.050293, 'y': 150.060455, 'z': -3106.671387}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3660.154541, 'y': 150.075012, 'z': -3226.876221}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3733.810791, 'y': 130.012817, 'z': -3174.869629}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3543.718506, 'y': 150.003052, 'z': -3063.591797}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4472.273926, 'y': 105.865707, 'z': -3094.060547}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3356.883545, 'y': 150.310486, 'z': -2911.5}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3264.132813, 'y': 150.033569, 'z': -2783.485352}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'town', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4198.393066, 'y': 150.59996, 'z': -3179.30249}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 14}
{'position': {'x': 3549.283203, 'y': 150.117035, 'z': -2807.357666}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3317.902344, 'y': 150.442978, 'z': -2696.970215}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3960.318848, 'y': 150.003052, 'z': -3245.855957}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4283.261719, 'y': 132.047607, 'z': -3129.167725}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4407.767578, 'y': 27.0, 'z': -2947.184326}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3796.562744, 'y': 103.913849, 'z': -2664.883057}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3446.558105, 'y': 150.003052, 'z': -3057.440674}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4299.641113, 'y': 134.143112, 'z': -3137.370117}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3361.58374, 'y': 150.555283, 'z': -2812.423096}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 14}
