{'position': {'x': 277.885834, 'y': 27.0, 'z': -2003.122803}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 337.075531, 'y': 27.0, 'z': -1823.185181}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 442.095215, 'y': 27.0, 'z': -1492.443604}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 254.688232, 'y': 27.0, 'z': -1499.374023}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 337.378418, 'y': 27.0, 'z': -1869.53064}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 388.77948, 'y': 27.0, 'z': -2924.07373}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 381.233826, 'y': 27.0, 'z': -1903.217407}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 210.690598, 'y': 27.0, 'z': -2202.852051}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 592.110474, 'y': 27.0, 'z': -1654.570679}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 407.267334, 'y': 27.0, 'z': -3280.611328}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 387.476257, 'y': 27.0, 'z': -2961.029053}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 324.74118, 'y': 27.0, 'z': -2737.202881}, 'level_range': {'x': 30.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 331.978027, 'y': 27.0, 'z': -2786.886963}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 631.298828, 'y': 27.0, 'z': -1652.653687}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 354.167389, 'y': 27.0, 'z': -2745.077148}, 'level_range': {'x': 30.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 400.056763, 'y': 27.0, 'z': -2861.913574}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 332.666565, 'y': 27.0, 'z': -1966.995972}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 631.28833, 'y': 27.0, 'z': -1640.911499}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 642.400635, 'y': 27.0, 'z': -1613.384521}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 371.106781, 'y': 27.0, 'z': -2803.151611}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 292.308105, 'y': 27.0, 'z': -2570.275391}, 'level_range': {'x': 22.0, 'y': 34.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 633.993469, 'y': 27.0, 'z': -1498.274048}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 131.211426, 'y': 27.0, 'z': -1842.63147}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 188.231445, 'y': 27.0, 'z': -2848.350098}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 593.943115, 'y': 27.0, 'z': -1676.370728}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 358.131958, 'y': 27.0, 'z': -2806.603516}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 411.639648, 'y': 27.0, 'z': -3323.638672}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 407.701172, 'y': 27.0, 'z': -2926.031006}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 646.826904, 'y': 27.0, 'z': -1570.824463}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 299.381592, 'y': 27.0, 'z': -3169.156738}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 393.77713, 'y': 27.0, 'z': -2828.106934}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 265.732422, 'y': 27.0, 'z': -2684.418213}, 'level_range': {'x': 28.0, 'y': 40.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 642.489929, 'y': 27.0, 'z': -1507.416016}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 351.946289, 'y': 27.0, 'z': -3416.925781}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 109.087646, 'y': 27.0, 'z': -3435.947266}, 'level_range': {'x': 36.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 508.663849, 'y': 27.0, 'z': -1768.819214}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 227.669479, 'y': 27.0, 'z': -2363.857666}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 358.374847, 'y': 27.0, 'z': -2816.518066}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 576.743042, 'y': 27.0, 'z': -1683.338745}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 329.104889, 'y': 27.0, 'z': -2670.11792}, 'level_range': {'x': 27.0, 'y': 39.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 315.026245, 'y': 27.0, 'z': -1816.765625}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 374.21698, 'y': 27.0, 'z': -2961.106689}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 439.609619, 'y': 27.0, 'z': -3371.236084}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 584.494141, 'y': 27.0, 'z': -1474.188843}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 376.095886, 'y': 27.0, 'z': -2836.185059}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 354.819061, 'y': 27.0, 'z': -2775.193604}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 365.068176, 'y': 27.0, 'z': -1940.578003}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 578.173706, 'y': 27.0, 'z': -1662.72522}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 268.170898, 'y': 27.0, 'z': -1822.434692}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 215.804443, 'y': 27.0, 'z': -1965.455933}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 537.064941, 'y': 27.0, 'z': -1617.518555}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 410.958618, 'y': 27.0, 'z': -2900.886475}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 320.241669, 'y': 27.0, 'z': -2726.844238}, 'level_range': {'x': 30.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 556.900879, 'y': 27.0, 'z': -1611.130127}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 344.743713, 'y': 27.0, 'z': -3039.120117}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 361.170563, 'y': 27.0, 'z': -2759.523438}, 'level_range': {'x': 30.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 428.294189, 'y': 27.0, 'z': -1866.348633}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 363.742004, 'y': 27.0, 'z': -1924.012085}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 400.803741, 'y': 27.0, 'z': -1909.643188}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 645.787048, 'y': 27.0, 'z': -1500.395874}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 646.478882, 'y': 27.0, 'z': -1527.40332}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 513.924805, 'y': 27.0, 'z': -1469.378296}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 371.350708, 'y': 27.0, 'z': -2847.015381}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 451.695068, 'y': 27.0, 'z': -1788.370239}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 318.927979, 'y': 27.0, 'z': -3257.347168}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 637.072083, 'y': 27.0, 'z': -1461.208008}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 618.611145, 'y': 27.0, 'z': -1650.015991}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 588.201416, 'y': 27.0, 'z': -1672.594849}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 271.032349, 'y': 27.0, 'z': -2976.176025}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 368.846252, 'y': 27.0, 'z': -3008.495117}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 278.890381, 'y': 27.0, 'z': -2710.193115}, 'level_range': {'x': 29.0, 'y': 41.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 365.610596, 'y': 27.0, 'z': -2942.660645}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 381.132782, 'y': 27.0, 'z': -2912.685059}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 630.345337, 'y': 27.0, 'z': -1509.525024}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 410.415405, 'y': 27.0, 'z': -2844.30542}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 459.284546, 'y': 27.0, 'z': -1858.223022}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 35.44043, 'y': 27.0, 'z': -2792.580566}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 348.246765, 'y': 27.0, 'z': -3057.193604}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 385.884064, 'y': 27.0, 'z': -2849.779053}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 459.284424, 'y': 27.0, 'z': -1845.978027}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 223.75676, 'y': 27.0, 'z': -2323.155029}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 419.35144, 'y': 27.0, 'z': -1906.091064}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 619.804993, 'y': 27.0, 'z': -1495.533203}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 63.920898, 'y': 27.0, 'z': -2139.303223}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 438.68335, 'y': 27.0, 'z': -1851.52002}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 422.259094, 'y': 27.0, 'z': -2878.348633}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 208.219925, 'y': 27.0, 'z': -2310.454102}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 390.592529, 'y': 27.0, 'z': -1670.911499}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 602.05188, 'y': 27.0, 'z': -1644.55957}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 380.435059, 'y': 27.0, 'z': -1604.386597}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 353.053223, 'y': 27.0, 'z': -3340.964111}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 455.980682, 'y': 27.0, 'z': -1876.654419}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 119.909424, 'y': 27.0, 'z': -2880.106201}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 643.823792, 'y': 27.0, 'z': -1547.759644}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 548.076355, 'y': 27.0, 'z': -1460.665405}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 602.293213, 'y': 27.0, 'z': -1561.196655}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 376.44751, 'y': 27.0, 'z': -2812.791016}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 382.731934, 'y': 27.0, 'z': -2952.44043}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 301.50238, 'y': 27.0, 'z': -2742.513428}, 'level_range': {'x': 30.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 157.553223, 'y': 27.0, 'z': -1977.29187}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 336.741425, 'y': 27.0, 'z': -1953.103394}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 462.268066, 'y': 27.0, 'z': -1770.123779}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 266.228455, 'y': 27.0, 'z': -2003.528687}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 364.080811, 'y': 27.0, 'z': -2824.661377}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 441.566345, 'y': 27.0, 'z': -1869.634766}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 81.167969, 'y': 27.0, 'z': -1996.979858}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 385.253418, 'y': 27.0, 'z': -1768.341553}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 223.57106, 'y': 27.0, 'z': -2393.55249}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 351.823883, 'y': 27.0, 'z': -2672.131836}, 'level_range': {'x': 28.0, 'y': 40.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 397.815887, 'y': 27.0, 'z': -2942.836914}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 440.621338, 'y': 27.0, 'z': -1661.37915}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 371.245239, 'y': 27.0, 'z': -2991.517578}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 406.3797, 'y': 27.0, 'z': -2891.923828}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 596.207153, 'y': 27.0, 'z': -1498.82312}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 318.647675, 'y': 27.0, 'z': -1585.601074}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 639.679993, 'y': 27.0, 'z': -1477.945313}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 471.235229, 'y': 27.0, 'z': -1695.307739}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 338.230011, 'y': 27.0, 'z': -2683.799805}, 'level_range': {'x': 28.0, 'y': 40.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 416.847595, 'y': 27.0, 'z': -2892.21875}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 288.081787, 'y': 27.0, 'z': -2845.682617}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 357.110168, 'y': 27.0, 'z': -2793.398193}, 'level_range': {'x': 31.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 342.580566, 'y': 27.0, 'z': -2986.491943}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 473.772675, 'y': 27.0, 'z': -1850.330078}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 360.302124, 'y': 27.0, 'z': -3049.335693}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 623.34845, 'y': 27.0, 'z': -1462.312988}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 235.519821, 'y': 27.0, 'z': -2109.057617}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 518.512085, 'y': 27.0, 'z': -1754.635376}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 383.94809, 'y': 27.0, 'z': -2898.98584}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
