{'position': {'x': 1859.522583, 'y': 27.0, 'z': -4753.298828}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2588.30835, 'y': 27.0, 'z': -4740.646484}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'ocean', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 1892.426636, 'y': 27.0, 'z': -4779.532227}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1996.544556, 'y': 27.0, 'z': -4846.832031}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2393.369141, 'y': 43.892811, 'z': -4689.172363}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2426.497314, 'y': 35.558987, 'z': -4731.193359}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2409.897461, 'y': 39.714081, 'z': -4720.858887}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2464.008789, 'y': 29.786974, 'z': -4773.07959}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2167.027344, 'y': 27.0, 'z': -4912.683594}, 'level_range': {'x': 48.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2096.282227, 'y': 27.055187, 'z': -4867.266602}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2459.915771, 'y': 33.623928, 'z': -4692.730469}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2259.296631, 'y': 85.616608, 'z': -4549.693848}, 'level_range': {'x': 43.0, 'y': 46.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2433.392334, 'y': 30.563456, 'z': -4773.581055}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2292.671387, 'y': 27.812805, 'z': -4874.444824}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1905.31189, 'y': 27.0, 'z': -4855.717773}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2555.257813, 'y': 29.576015, 'z': -4720.275391}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2327.442139, 'y': 27.000233, 'z': -4891.599609}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2463.209717, 'y': 30.365011, 'z': -4743.970703}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2303.455322, 'y': 28.270506, 'z': -4863.259766}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2033.959839, 'y': 27.0, 'z': -4898.924805}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2432.114014, 'y': 27.0, 'z': -4859.725586}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1906.287109, 'y': 27.0, 'z': -4803.771484}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2122.350586, 'y': 26.087265, 'z': -4901.674316}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 1953.582764, 'y': 27.0, 'z': -4861.628418}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1949.5, 'y': 27.0, 'z': -4852.669922}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2384.163818, 'y': 27.0, 'z': -4909.055664}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 20}
{'position': {'x': 2487.105713, 'y': 29.786974, 'z': -4772.730957}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1915.738281, 'y': 27.0, 'z': -4773.568848}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2147.209961, 'y': 78.508415, 'z': -4612.359375}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2214.258301, 'y': 28.545942, 'z': -4876.246582}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2575.912598, 'y': 27.0, 'z': -4821.213867}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 20}
{'position': {'x': 1949.383301, 'y': 27.0, 'z': -4873.229492}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1873.741333, 'y': 27.0, 'z': -4799.357422}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2443.04248, 'y': 31.437757, 'z': -4756.300293}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1873.564453, 'y': 27.0, 'z': -4810.330078}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2139.026367, 'y': 27.0, 'z': -4939.92334}, 'level_range': {'x': 48.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2056.781982, 'y': 29.709364, 'z': -4834.843262}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1998.117432, 'y': 33.543716, 'z': -4803.214355}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 2468.408203, 'y': 30.707474, 'z': -4755.856934}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2288.222168, 'y': 27.0, 'z': -4928.330078}, 'level_range': {'x': 48.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2245.01416, 'y': 70.06279, 'z': -4611.884766}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 2054.144775, 'y': 35.096371, 'z': -4807.203125}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1841.640137, 'y': 27.0, 'z': -4786.141113}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2086.990967, 'y': 27.0, 'z': -4864.879883}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2516.159912, 'y': 29.786974, 'z': -4715.872559}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2519.996338, 'y': 29.786974, 'z': -4701.002441}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1869.113525, 'y': 27.0, 'z': -4849.549805}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2478.968262, 'y': 27.0, 'z': -4808.22168}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2029.904175, 'y': 32.570553, 'z': -4814.311035}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2076.568604, 'y': 32.791019, 'z': -4817.322754}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2433.050049, 'y': 27.449409, 'z': -4836.083496}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2129.623779, 'y': 27.0, 'z': -4950.821777}, 'level_range': {'x': 48.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2181.80542, 'y': 81.372299, 'z': -4591.619141}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2275.950684, 'y': 74.423576, 'z': -4595.145996}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2438.55249, 'y': 27.0, 'z': -4860.693848}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2249.317627, 'y': 85.728714, 'z': -4548.111328}, 'level_range': {'x': 43.0, 'y': 46.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1890.349976, 'y': 27.0, 'z': -4837.99707}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2439.395996, 'y': 27.559055, 'z': -4826.529785}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1967.026245, 'y': 27.0, 'z': -4843.958008}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2468.129395, 'y': 29.786974, 'z': -4779.786621}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1848.182983, 'y': 27.0, 'z': -4762.606445}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2463.535889, 'y': 27.646332, 'z': -4800.146484}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1846.232544, 'y': 27.0, 'z': -4733.050781}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2041.950684, 'y': 27.0, 'z': -4873.930664}, 'level_range': {'x': 46.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2516.470215, 'y': 27.0, 'z': -4800.220703}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2225.255859, 'y': 81.024529, 'z': -4574.03418}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1954.161011, 'y': 27.0, 'z': -4829.663086}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1908.431396, 'y': 27.0, 'z': -4849.866211}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2453.946045, 'y': 29.886356, 'z': -4755.265625}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2452.523682, 'y': 30.980024, 'z': -4737.28418}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2136.520508, 'y': 27.0, 'z': -4940.17334}, 'level_range': {'x': 48.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2420.941406, 'y': 27.0, 'z': -4882.791504}, 'level_range': {'x': 46.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1937.729492, 'y': 27.0, 'z': -4867.578125}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2373.020996, 'y': 28.766542, 'z': -4844.525879}, 'level_range': {'x': 46.0, 'y': 50.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2598.815186, 'y': 27.0, 'z': -4814.770996}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 20}
{'position': {'x': 2032.742676, 'y': 27.0, 'z': -4878.802246}, 'level_range': {'x': 46.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2550.559082, 'y': 27.0, 'z': -4810.80957}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 20}
{'position': {'x': 1971.829712, 'y': 27.0, 'z': -4830.476563}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1986.752686, 'y': 31.091696, 'z': -4808.494141}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 2005.823975, 'y': 27.0, 'z': -4844.338379}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2007.093384, 'y': 37.339878, 'z': -4784.149902}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1848.925903, 'y': 27.0, 'z': -4795.115723}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2130.950195, 'y': 27.977047, 'z': -4872.129883}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 2382.926514, 'y': 27.0, 'z': -4875.637207}, 'level_range': {'x': 46.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2401.02124, 'y': 28.779392, 'z': -4833.312988}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2066.162598, 'y': 40.051628, 'z': -4786.48584}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1868.061157, 'y': 27.0, 'z': -4757.326172}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2506.259766, 'y': 27.0, 'z': -4775.182617}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2229.462158, 'y': 76.753448, 'z': -4591.411621}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2423.357666, 'y': 30.43865, 'z': -4776.48877}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
