{'position': {'x': 2849.614014, 'y': 571.414368, 'z': -3981.205322}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1626.43811, 'y': 27.0, 'z': -4639.041016}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 19}
{'position': {'x': 3214.411621, 'y': 329.964142, 'z': -4224.618164}, 'level_range': {'x': 35.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1957.022339, 'y': 292.408295, 'z': -4618.697754}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 3119.929443, 'y': 397.989197, 'z': -4168.4375}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2638.253418, 'y': 27.0, 'z': -4848.109863}, 'level_range': {'x': 39.0, 'y': 41.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 19}
{'position': {'x': 2370.156982, 'y': 192.398804, 'z': -4381.299805}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1894.905151, 'y': 328.744598, 'z': -4546.256836}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2610.73291, 'y': 140.474091, 'z': -4630.950195}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2268.455811, 'y': 293.372772, 'z': -4083.686523}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2711.290771, 'y': 27.0, 'z': -4836.133301}, 'level_range': {'x': 39.0, 'y': 41.0}, 'biome': 'ocean', 'substance': 'iwa', 'area_no': 19}
{'position': {'x': 2848.706055, 'y': 602.369141, 'z': -3937.320313}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1939.02417, 'y': 296.834564, 'z': -4336.915039}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 19}
{'position': {'x': 3347.487793, 'y': 345.694397, 'z': -4210.68457}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2035.920898, 'y': 292.903351, 'z': -4610.633789}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2675.360107, 'y': 350.451233, 'z': -4338.595215}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2543.374756, 'y': 375.701263, 'z': -4230.567383}, 'level_range': {'x': 36.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 3157.835449, 'y': 498.071564, 'z': -4018.693848}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2860.277588, 'y': 420.445129, 'z': -4227.692871}, 'level_range': {'x': 35.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2979.436523, 'y': 242.066986, 'z': -4604.79834}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 3255.943848, 'y': 424.534576, 'z': -4093.168701}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2820.003906, 'y': 592.975281, 'z': -3905.484619}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2829.135498, 'y': 393.920746, 'z': -4299.809082}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 3157.94043, 'y': 289.871399, 'z': -4323.384277}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1766.946655, 'y': 327.620483, 'z': -4483.550781}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2816.972168, 'y': 609.500061, 'z': -3775.180176}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2017.284302, 'y': 299.37854, 'z': -4302.352539}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2211.375244, 'y': 274.632019, 'z': -4169.001465}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1952.515259, 'y': 280.861542, 'z': -4275.348145}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 19}
{'position': {'x': 2644.32959, 'y': 473.161896, 'z': -4047.342285}, 'level_range': {'x': 35.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2973.763428, 'y': 364.140076, 'z': -4224.024414}, 'level_range': {'x': 35.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1863.9198, 'y': 317.120056, 'z': -4551.084961}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2924.60498, 'y': 294.597687, 'z': -4489.960449}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1911.154297, 'y': 310.46106, 'z': -4488.74707}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2414.174072, 'y': 192.138809, 'z': -4432.59668}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2102.030273, 'y': 251.34993, 'z': -4269.144531}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2436.179443, 'y': 305.192657, 'z': -4233.226563}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2910.418213, 'y': 355.105316, 'z': -4322.310059}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 3078.587891, 'y': 429.709717, 'z': -4141.154785}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2912.624756, 'y': 664.235596, 'z': -3879.414795}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2897.763428, 'y': 227.82338, 'z': -4695.120117}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 3266.927734, 'y': 396.019531, 'z': -4137.928223}, 'level_range': {'x': 35.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 3223.792969, 'y': 291.158661, 'z': -4302.688965}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2775.030518, 'y': 579.432983, 'z': -3894.116943}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2859.818359, 'y': 291.590637, 'z': -4500.442871}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 3113.659424, 'y': 369.383118, 'z': -4214.856934}, 'level_range': {'x': 35.0, 'y': 38.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 2846.207031, 'y': 399.546173, 'z': -4251.480957}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
{'position': {'x': 1799.709839, 'y': 349.193115, 'z': -4467.42334}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 19}
