{'position': {'x': 1508.432617, 'y': 115.587318, 'z': -1552.456787}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1532.433594, 'y': 100.712822, 'z': -1440.062744}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1966.388062, 'y': 145.066513, 'z': -1937.740112}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1753.1427, 'y': 108.742874, 'z': -1430.441162}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1926.039673, 'y': 148.567535, 'z': -1902.214844}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 2044.577148, 'y': 119.296631, 'z': -1663.594238}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1562.102783, 'y': 124.673119, 'z': -1900.907471}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1436.47998, 'y': 123.573212, 'z': -1477.612671}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1389.537964, 'y': 108.984924, 'z': -1849.230591}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'town', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1644.955688, 'y': 123.653542, 'z': -1693.86499}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 2016.679321, 'y': 124.325851, 'z': -1612.714844}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1819.89502, 'y': 171.138626, 'z': -1854.327881}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1476.623413, 'y': 118.44886, 'z': -1520.461792}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1524.838623, 'y': 129.251755, 'z': -1852.180664}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1709.248291, 'y': 200.274353, 'z': -2318.099609}, 'level_range': {'x': 12.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1581.807251, 'y': 127.048302, 'z': -1782.780762}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1542.785278, 'y': 103.143883, 'z': -1400.97644}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1390.641357, 'y': 114.154793, 'z': -1565.363037}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1271.186646, 'y': 122.963783, 'z': -1740.332764}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1822.523315, 'y': 126.454483, 'z': -1439.394531}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1897.03418, 'y': 100.529861, 'z': -1367.419678}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1793.131958, 'y': 150.556961, 'z': -2090.96582}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1496.046265, 'y': 108.846977, 'z': -1731.679199}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1805.279907, 'y': 100.317841, 'z': -1407.063843}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1888.728027, 'y': 170.616653, 'z': -1790.688721}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1759.457397, 'y': 170.781677, 'z': -1955.582275}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1569.455811, 'y': 125.347298, 'z': -1843.894531}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1710.128174, 'y': 149.942017, 'z': -1875.152222}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1854.360352, 'y': 95.014923, 'z': -1327.295776}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1983.72937, 'y': 145.036331, 'z': -1903.96936}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1660.637695, 'y': 128.456818, 'z': -1610.17688}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1593.36438, 'y': 200.414352, 'z': -2286.099854}, 'level_range': {'x': 12.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1433.490601, 'y': 95.133331, 'z': -1389.397705}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1682.316895, 'y': 129.11116, 'z': -1714.846802}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1922.823975, 'y': 118.199211, 'z': -1428.031982}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 2000.665039, 'y': 149.972534, 'z': -1807.011841}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1689.85791, 'y': 144.048553, 'z': -1802.159668}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1629.57019, 'y': 151.431473, 'z': -1910.084595}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1856.992798, 'y': 143.343979, 'z': -1617.173462}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1917.747314, 'y': 136.515457, 'z': -1557.90564}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1646.72876, 'y': 126.777321, 'z': -1594.380615}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1468.917603, 'y': 105.994019, 'z': -1596.289185}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1752.213379, 'y': 143.823257, 'z': -1753.954468}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1697.987427, 'y': 200.743118, 'z': -2231.903809}, 'level_range': {'x': 12.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 2135.782227, 'y': 95.752029, 'z': -1731.622681}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1576.611816, 'y': 101.97377, 'z': -1391.432251}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 2022.333862, 'y': 119.082886, 'z': -1735.467163}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1598.778687, 'y': 100.439529, 'z': -1372.243286}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1675.708374, 'y': 150.188446, 'z': -1930.080933}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1648.987305, 'y': 152.500641, 'z': -1855.265869}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1757.397583, 'y': 137.014389, 'z': -1704.097046}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1725.805054, 'y': 131.274094, 'z': -1618.091675}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 2050.461182, 'y': 144.969482, 'z': -1869.30603}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1606.898315, 'y': 151.972641, 'z': -1896.677246}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1626.132813, 'y': 124.21122, 'z': -1466.765137}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1668.642944, 'y': 100.161705, 'z': -1349.510254}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1857.405518, 'y': 145.523834, 'z': -2029.859863}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1877.585205, 'y': 139.266998, 'z': -1620.422363}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1798.321533, 'y': 200.665329, 'z': -2234.870605}, 'level_range': {'x': 11.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1837.403687, 'y': 95.004242, 'z': -1323.339966}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1781.990601, 'y': 127.154533, 'z': -1603.230835}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1529.119141, 'y': 129.994644, 'z': -1789.982544}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1811.515747, 'y': 148.478729, 'z': -1752.216309}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1418.543091, 'y': 115.013458, 'z': -1546.491821}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1462.919067, 'y': 120.436424, 'z': -1512.451416}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1954.199951, 'y': 99.241386, 'z': -1384.416748}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1882.228027, 'y': 138.582764, 'z': -1508.789673}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1820.983154, 'y': 170.348511, 'z': -1861.891235}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1496.7146, 'y': 124.158463, 'z': -1881.295654}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1746.343018, 'y': 126.222755, 'z': -1664.472168}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1872.763916, 'y': 170.582001, 'z': -1793.806885}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1682.2948, 'y': 198.896271, 'z': -2220.888916}, 'level_range': {'x': 12.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1291.033447, 'y': 124.225037, 'z': -1559.988647}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'riverside', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1994.776855, 'y': 117.934143, 'z': -1562.281616}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1598.77417, 'y': 120.923187, 'z': -1567.421875}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1852.841187, 'y': 127.738472, 'z': -1452.825562}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1684.584229, 'y': 126.143105, 'z': -1549.097656}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1500.054932, 'y': 109.358818, 'z': -1589.871338}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'town', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1678.429443, 'y': 151.535446, 'z': -2144.474365}, 'level_range': {'x': 11.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1260.174194, 'y': 123.691681, 'z': -1723.766235}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1749.022583, 'y': 126.402153, 'z': -1658.278809}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1659.772217, 'y': 150.460846, 'z': -1934.450928}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1566.546997, 'y': 127.863083, 'z': -1791.056396}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1802.13916, 'y': 169.1745, 'z': -1947.76355}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1564.442139, 'y': 100.808548, 'z': -1424.270996}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1836.09082, 'y': 170.737061, 'z': -1884.09729}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1958.505005, 'y': 125.262085, 'z': -1485.919189}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1422.365479, 'y': 106.343216, 'z': -1595.070435}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1619.585205, 'y': 101.400085, 'z': -1432.01062}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1358.782715, 'y': 115.716339, 'z': -1902.730347}, 'level_range': {'x': 8.0, 'y': 11.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 2188.007324, 'y': 95.752029, 'z': -1888.714355}, 'level_range': {'x': 8.0, 'y': 11.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1185.501587, 'y': 120.414963, 'z': -1601.575439}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1568.268921, 'y': 126.262421, 'z': -1880.852295}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1681.763672, 'y': 125.885712, 'z': -1550.039429}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1544.585327, 'y': 129.852722, 'z': -1788.117554}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1931.105347, 'y': 150.617447, 'z': -1829.05896}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1676.678223, 'y': 101.986015, 'z': -1407.702271}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1572.692749, 'y': 110.442207, 'z': -1647.022705}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1801.116333, 'y': 142.255737, 'z': -1557.185669}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1690.581421, 'y': 149.760117, 'z': -1838.398193}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1756.904907, 'y': 132.884094, 'z': -1685.212891}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1907.168457, 'y': 144.999435, 'z': -1987.88501}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 2162.837891, 'y': 95.752029, 'z': -1769.238525}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 2014.952271, 'y': 124.977112, 'z': -1601.858521}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1408.067017, 'y': 122.99884, 'z': -1497.571777}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1944.599243, 'y': 119.81942, 'z': -1411.57312}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'rocky_area', 'substance': 'suna_sunahama', 'area_no': 4}
{'position': {'x': 1914.716431, 'y': 125.142151, 'z': -1479.890625}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1780.407227, 'y': 143.279861, 'z': -1730.846436}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'olive', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 1526.950317, 'y': 130.969391, 'z': -1824.545166}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1715.81604, 'y': 152.672745, 'z': -1974.84375}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1366.831177, 'y': 122.80088, 'z': -1535.564331}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 2090.356689, 'y': 144.925995, 'z': -1842.163086}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1939.416382, 'y': 151.433884, 'z': -1821.327393}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1810.751465, 'y': 153.024475, 'z': -2179.284668}, 'level_range': {'x': 10.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1672.082031, 'y': 101.239456, 'z': -1389.790527}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1431.013062, 'y': 114.144913, 'z': -1549.508057}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'olive', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1558.970581, 'y': 102.216568, 'z': -1477.495117}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1416.173706, 'y': 123.212593, 'z': -1489.160156}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1741.327637, 'y': 171.286667, 'z': -1958.060181}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1971.11853, 'y': 125.880119, 'z': -1741.883057}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 1953.776367, 'y': 99.996956, 'z': -1391.504028}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1864.567627, 'y': 125.007629, 'z': -1677.572388}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 4}
{'position': {'x': 2078.61084, 'y': 144.968552, 'z': -1891.186646}, 'level_range': {'x': 7.0, 'y': 9.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1586.174438, 'y': 95.0, 'z': -1339.25}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1720.011475, 'y': 199.665039, 'z': -2208.759766}, 'level_range': {'x': 12.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
