{'position': {'x': 571.127625, 'y': 58.056931, 'z': -4225.402344}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 957.11499, 'y': 49.230766, 'z': -4136.974121}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 877.047485, 'y': 49.230766, 'z': -3509.840576}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 798.727661, 'y': 49.230766, 'z': -3966.794434}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1539.290649, 'y': 49.230766, 'z': -4141.970703}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1130.511719, 'y': 49.230766, 'z': -4028.037109}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1019.457397, 'y': 49.230766, 'z': -4181.798828}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1109.504639, 'y': 99.296112, 'z': -4397.240723}, 'level_range': {'x': 52.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'tsuchi', 'area_no': 18}
{'position': {'x': 1346.321533, 'y': 49.230766, 'z': -3872.480469}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 916.707581, 'y': 52.93866, 'z': -4002.116943}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1747.540771, 'y': 49.230766, 'z': -3950.213135}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 831.517273, 'y': 104.557762, 'z': -4527.219727}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
{'position': {'x': 1788.87146, 'y': 49.230766, 'z': -3902.531738}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 863.773743, 'y': 49.230766, 'z': -3917.216797}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1158.251831, 'y': 49.230766, 'z': -3604.095215}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1387.609985, 'y': 49.230766, 'z': -4176.021973}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1026.281616, 'y': 49.230766, 'z': -3756.293701}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 651.804199, 'y': 59.679035, 'z': -4282.325195}, 'level_range': {'x': 52.0, 'y': 56.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 757.550964, 'y': 49.230766, 'z': -3700.08252}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1221.609375, 'y': 49.230766, 'z': -4014.050537}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1531.684692, 'y': 117.161087, 'z': -4380.864258}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1154.383789, 'y': 49.230766, 'z': -4276.234863}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 921.022461, 'y': 49.230766, 'z': -3564.522461}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 984.703369, 'y': 49.230766, 'z': -4059.948486}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1090.158691, 'y': 49.230766, 'z': -3771.832764}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1201.706055, 'y': 100.392784, 'z': -4670.280762}, 'level_range': {'x': 54.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
{'position': {'x': 1121.428101, 'y': 68.156563, 'z': -3438.468994}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 525.271667, 'y': 27.0, 'z': -3911.43335}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 18}
{'position': {'x': 1040.991699, 'y': 49.230766, 'z': -3641.304688}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1024.428955, 'y': 69.630028, 'z': -3455.553955}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1129.651245, 'y': 97.692726, 'z': -4590.431641}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
{'position': {'x': 594.153442, 'y': 56.046295, 'z': -3954.589844}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1435.548706, 'y': 49.230766, 'z': -4177.469727}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1177.078613, 'y': 49.230766, 'z': -3832.838379}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1147.529419, 'y': 62.591312, 'z': -3499.727051}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1185.946411, 'y': 49.230766, 'z': -3803.425049}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1799.998657, 'y': 49.230766, 'z': -4031.187744}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1424.25061, 'y': 102.516747, 'z': -4610.498047}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
{'position': {'x': 1531.557983, 'y': 99.861214, 'z': -3522.147705}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 838.302002, 'y': 49.230766, 'z': -3682.121826}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1264.123169, 'y': 67.021378, 'z': -4032.922363}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'suna_sabaku', 'area_no': 18}
{'position': {'x': 967.03125, 'y': 49.230766, 'z': -4233.958984}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1584.582642, 'y': 49.230766, 'z': -4069.842529}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 844.450195, 'y': 49.230766, 'z': -3568.937744}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1351.996826, 'y': 49.230766, 'z': -3656.784424}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 715.933044, 'y': 56.165154, 'z': -3855.515381}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 514.045898, 'y': 27.0, 'z': -3568.550293}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 18}
{'position': {'x': 1019.490234, 'y': 68.781746, 'z': -3485.560059}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 2078.442627, 'y': 61.066101, 'z': -3901.165039}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 614.667114, 'y': 57.509327, 'z': -4074.351563}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1275.562256, 'y': 49.230766, 'z': -4369.398926}, 'level_range': {'x': 52.0, 'y': 56.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1574.939453, 'y': 49.230766, 'z': -4115.798828}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1058.4375, 'y': 49.230766, 'z': -4130.90332}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1336.35437, 'y': 49.411324, 'z': -3747.044189}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1704.272827, 'y': 49.230766, 'z': -4007.977051}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1653.064575, 'y': 49.230766, 'z': -3863.819336}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1254.161621, 'y': 49.230766, 'z': -3790.267334}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1687.583252, 'y': 52.656723, 'z': -4076.570313}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 841.94165, 'y': 86.792747, 'z': -4330.075684}, 'level_range': {'x': 52.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1159.328857, 'y': 49.230766, 'z': -3799.212402}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1561.744873, 'y': 49.230766, 'z': -4221.28418}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1712.942627, 'y': 49.230766, 'z': -4026.882324}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 596.879089, 'y': 63.428482, 'z': -3902.830322}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1212.92395, 'y': 104.283775, 'z': -4456.499512}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1319.522217, 'y': 49.230766, 'z': -3850.51416}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1686.455811, 'y': 51.270504, 'z': -4090.177246}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1549.172607, 'y': 49.230766, 'z': -3788.574951}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1103.359497, 'y': 96.181923, 'z': -4625.953613}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
{'position': {'x': 1457.73999, 'y': 49.230766, 'z': -4313.881348}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1726.632202, 'y': 103.624352, 'z': -3644.659912}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1412.670288, 'y': 49.230766, 'z': -4087.058105}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 526.226624, 'y': 27.0, 'z': -4129.491699}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 18}
{'position': {'x': 785.094788, 'y': 49.230766, 'z': -4152.188477}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1644.001587, 'y': 49.230766, 'z': -3884.769287}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 546.668945, 'y': 27.0, 'z': -3659.394287}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 18}
{'position': {'x': 919.379517, 'y': 49.673706, 'z': -3959.715088}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1512.892456, 'y': 98.731491, 'z': -3580.421631}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1732.116943, 'y': 103.39225, 'z': -3710.082764}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1260.101563, 'y': 49.230766, 'z': -3742.131348}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1559.65332, 'y': 49.230766, 'z': -4172.889648}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 524.502258, 'y': 59.027748, 'z': -4273.42334}, 'level_range': {'x': 52.0, 'y': 56.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1237.357422, 'y': 49.230766, 'z': -3766.018311}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1078.749634, 'y': 94.878738, 'z': -4628.903809}, 'level_range': {'x': 54.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
{'position': {'x': 1035.225342, 'y': 49.230766, 'z': -4024.24707}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1515.648438, 'y': 49.230766, 'z': -4113.775391}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1097.095581, 'y': 49.230766, 'z': -3676.016602}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1230.759155, 'y': 105.942902, 'z': -4646.379883}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
