{'position': {'x': 1176.920654, 'y': 148.313522, 'z': -689.335876}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'bamboo_forest', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1383.63208, 'y': 164.007904, 'z': -665.520447}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'volcano', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1491.560181, 'y': 147.87999, 'z': -524.368958}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1104.46936, 'y': 166.498718, 'z': -476.078827}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1421.74939, 'y': 147.87999, 'z': -499.068817}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'bamboo_forest', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1050.345215, 'y': 189.701813, 'z': -295.505524}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1770.57373, 'y': 162.313721, 'z': -709.807251}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1125.005859, 'y': 182.096024, 'z': -855.669861}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1788.935059, 'y': 163.812302, 'z': -694.020203}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1723.523682, 'y': 148.577545, 'z': -951.129395}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1130.145752, 'y': 174.533203, 'z': -925.881226}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1704.610718, 'y': 142.967056, 'z': -910.353882}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1425.868774, 'y': 138.680344, 'z': -851.675049}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1162.772949, 'y': 150.09462, 'z': -622.825562}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1314.178101, 'y': 151.178818, 'z': -552.159912}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1592.832153, 'y': 148.448395, 'z': -588.770081}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1719.755249, 'y': 150.837723, 'z': -761.907837}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1180.533325, 'y': 173.320618, 'z': -816.656738}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1686.10022, 'y': 142.14473, 'z': -848.813354}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1815.84436, 'y': 156.647797, 'z': -762.911865}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1218.833008, 'y': 165.266342, 'z': -914.509766}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1809.444458, 'y': 153.040237, 'z': -920.11084}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1559.878418, 'y': 150.698196, 'z': -683.015869}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1540.073486, 'y': 144.018021, 'z': -976.778992}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1519.963989, 'y': 151.01355, 'z': -333.876648}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1636.176147, 'y': 141.111984, 'z': -924.595947}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1029.953491, 'y': 147.860352, 'z': -672.328796}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1064.515991, 'y': 204.712723, 'z': -153.883224}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1058.245117, 'y': 192.238113, 'z': -273.769958}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1153.418091, 'y': 209.107681, 'z': -198.264832}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1224.433472, 'y': 183.116638, 'z': -393.66449}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1041.659424, 'y': 200.121201, 'z': -212.66893}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1259.749634, 'y': 147.720398, 'z': -670.804871}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1524.964233, 'y': 150.87973, 'z': -636.528259}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1657.311401, 'y': 148.723114, 'z': -621.380127}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1155.598755, 'y': 186.097366, 'z': -434.440674}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1485.060425, 'y': 150.827057, 'z': -599.766846}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1028.958618, 'y': 158.020584, 'z': -579.74707}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1462.869141, 'y': 157.604492, 'z': -338.654419}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1602.279175, 'y': 148.287628, 'z': -616.973267}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1535.613159, 'y': 140.019897, 'z': -941.045471}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1054.326294, 'y': 188.832962, 'z': -319.586884}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1328.263062, 'y': 204.079178, 'z': -224.199158}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1383.018311, 'y': 158.474609, 'z': -952.924011}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1108.577637, 'y': 184.755142, 'z': -336.528839}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'rocky_area', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1219.008545, 'y': 148.214111, 'z': -684.841797}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1125.254639, 'y': 193.488632, 'z': -271.911102}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1707.227661, 'y': 156.922226, 'z': -683.23877}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1324.713745, 'y': 151.471863, 'z': -536.357605}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1179.739136, 'y': 171.23407, 'z': -902.370239}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1275.082642, 'y': 203.736603, 'z': -317.77533}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 1}
{'position': {'x': 1516.017578, 'y': 137.680283, 'z': -877.935791}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'volcano', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1429.752319, 'y': 147.87999, 'z': -453.560791}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'bamboo_forest', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1454.668091, 'y': 147.87999, 'z': -485.063965}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1190.582031, 'y': 183.087189, 'z': -375.75827}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1462.90918, 'y': 148.049805, 'z': -472.717743}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1205.552368, 'y': 211.361206, 'z': -269.731201}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1683.307373, 'y': 156.906876, 'z': -583.935547}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1531.385376, 'y': 142.212769, 'z': -960.875061}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1251.261597, 'y': 144.748276, 'z': -737.106628}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1811.438965, 'y': 154.504745, 'z': -928.959045}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1245.975952, 'y': 161.50856, 'z': -959.203613}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1500.911133, 'y': 152.944412, 'z': -629.267212}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1474.235718, 'y': 149.18689, 'z': -366.562744}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1472.41272, 'y': 155.613739, 'z': -626.331787}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1301.765625, 'y': 166.066437, 'z': -410.537964}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1689.292847, 'y': 143.993042, 'z': -810.776733}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1524.4552, 'y': 146.733307, 'z': -748.706543}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1494.332764, 'y': 160.576538, 'z': -307.109039}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1560.264893, 'y': 145.875305, 'z': -734.202393}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1214.577148, 'y': 183.177673, 'z': -373.061523}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1476.962646, 'y': 138.680344, 'z': -894.515625}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1167.102417, 'y': 166.822144, 'z': -505.007172}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1172.830688, 'y': 175.800049, 'z': -857.573425}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1012.78772, 'y': 188.810959, 'z': -810.745239}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1246.737183, 'y': 155.241913, 'z': -822.503723}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1121.013916, 'y': 183.761124, 'z': -341.779205}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1107.576294, 'y': 204.183289, 'z': -198.264603}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1734.286255, 'y': 152.481308, 'z': -969.187317}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1225.232544, 'y': 183.170532, 'z': -373.275421}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1188.328003, 'y': 148.477081, 'z': -723.228516}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1228.136841, 'y': 160.248581, 'z': -991.544373}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1809.995117, 'y': 155.095825, 'z': -940.929199}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1258.575806, 'y': 160.053802, 'z': -977.976379}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1365.630371, 'y': 158.74881, 'z': -923.879211}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1820.144653, 'y': 146.615387, 'z': -805.994995}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1214.50293, 'y': 150.034531, 'z': -740.113953}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1342.944336, 'y': 165.666183, 'z': -608.586853}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 1}
{'position': {'x': 1258.254028, 'y': 158.259201, 'z': -833.358643}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
