{'position': {'x': 758.106323, 'y': 149.5, 'z': -328.791779}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 903.852112, 'y': 152.751602, 'z': -711.478882}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'tsuchi_sado', 'area_no': 3}
{'position': {'x': 959.259888, 'y': 150.950104, 'z': -699.684326}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 3}
{'position': {'x': 325.627869, 'y': 238.534943, 'z': -740.660828}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 517.549072, 'y': 257.25708, 'z': -544.326172}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 614.819214, 'y': 149.753571, 'z': -299.210785}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 371.534637, 'y': 237.868469, 'z': -756.288391}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 672.705994, 'y': 223.95166, 'z': -443.850311}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 976.627625, 'y': 198.083588, 'z': -241.521149}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 951.695862, 'y': 140.170593, 'z': -889.969727}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 649.545776, 'y': 299.786285, 'z': -967.862671}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 706.946106, 'y': 267.2052, 'z': -719.696838}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 527.828247, 'y': 237.868469, 'z': -789.363403}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 555.007202, 'y': 237.868469, 'z': -519.085632}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 646.706116, 'y': 223.274368, 'z': -440.307129}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 648.02832, 'y': 149.5, 'z': -335.002777}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 540.418579, 'y': 237.868469, 'z': -518.049072}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 817.820801, 'y': 149.5, 'z': -401.35907}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 625.305237, 'y': 238.967224, 'z': -569.198425}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 701.596069, 'y': 223.95166, 'z': -426.15863}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 443.342346, 'y': 149.972534, 'z': -406.577454}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 449.837341, 'y': 237.868469, 'z': -729.620117}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 823.751892, 'y': 172.137024, 'z': -234.999969}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 857.184937, 'y': 158.27739, 'z': -798.336792}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 915.183533, 'y': 150.030396, 'z': -580.0896}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 779.330872, 'y': 176.85228, 'z': -179.270813}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 910.90387, 'y': 151.887665, 'z': -590.858398}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 810.81842, 'y': 151.173019, 'z': -325.757019}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 3}
{'position': {'x': 580.9729, 'y': 318.313049, 'z': -900.456421}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 707.779358, 'y': 267.057434, 'z': -694.416016}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 834.395752, 'y': 178.937439, 'z': -485.55426}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 425.783264, 'y': 237.868469, 'z': -756.569519}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 941.687134, 'y': 194.857651, 'z': -249.176453}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 338.79895, 'y': 153.283844, 'z': -456.749054}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 859.048767, 'y': 167.494766, 'z': -431.899506}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 331.602051, 'y': 238.448395, 'z': -742.763855}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 244.818436, 'y': 362.231995, 'z': -946.627319}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 671.118225, 'y': 149.5, 'z': -319.365265}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 979.658264, 'y': 204.712234, 'z': -182.166031}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 826.822876, 'y': 214.072067, 'z': -626.08728}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 502.700714, 'y': 277.954987, 'z': -655.642151}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 960.484863, 'y': 140.359772, 'z': -911.038147}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 959.048462, 'y': 192.294952, 'z': -330.076477}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 978.825012, 'y': 188.246597, 'z': -801.011414}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 765.125549, 'y': 149.5, 'z': -488.599762}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 974.749207, 'y': 183.03476, 'z': -376.436462}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 841.58667, 'y': 149.5, 'z': -548.096008}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 3}
{'position': {'x': 428.563934, 'y': 327.520081, 'z': -786.112366}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 947.743591, 'y': 205.908737, 'z': -167.853333}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 527.158813, 'y': 237.868469, 'z': -657.708191}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 593.88446, 'y': 149.616806, 'z': -279.671265}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 3}
{'position': {'x': 870.198242, 'y': 150.843491, 'z': -761.457397}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 429.088043, 'y': 237.868469, 'z': -574.423889}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 993.987122, 'y': 158.132294, 'z': -537.814453}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 772.574951, 'y': 194.156418, 'z': -722.086304}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 959.029236, 'y': 191.593109, 'z': -320.060669}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 415.021149, 'y': 324.639587, 'z': -772.832703}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 655.643372, 'y': 238.967224, 'z': -570.578796}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 613.330933, 'y': 223.274368, 'z': -355.611115}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 905.12793, 'y': 149.972534, 'z': -754.925049}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 909.962585, 'y': 150.188324, 'z': -907.489502}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 957.959045, 'y': 199.804764, 'z': -208.07193}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 772.079041, 'y': 149.5, 'z': -360.446472}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 818.067932, 'y': 165.782639, 'z': -474.702118}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 633.847839, 'y': 237.868469, 'z': -532.164001}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 480.826752, 'y': 237.868469, 'z': -722.68512}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 664.926147, 'y': 223.903671, 'z': -390.26828}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 965.066223, 'y': 150.868942, 'z': -666.773315}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 473.469421, 'y': 266.923035, 'z': -935.736938}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 571.594116, 'y': 237.868469, 'z': -482.116852}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 821.102966, 'y': 149.972534, 'z': -348.364746}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 611.67218, 'y': 223.95166, 'z': -432.07019}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 526.733643, 'y': 237.868469, 'z': -636.125366}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 521.75708, 'y': 266.923035, 'z': -868.802673}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 995.352661, 'y': 199.141006, 'z': -221.862411}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 832.963867, 'y': 178.995712, 'z': -463.123047}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 652.116455, 'y': 223.95166, 'z': -420.066345}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 324.106018, 'y': 238.783279, 'z': -684.742004}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 758.667419, 'y': 169.507553, 'z': -246.903793}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 593.854675, 'y': 238.575989, 'z': -471.217987}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 714.097839, 'y': 222.946136, 'z': -526.162842}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 696.495422, 'y': 286.108459, 'z': -797.071228}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 662.564209, 'y': 263.240417, 'z': -639.933777}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 218.531082, 'y': 261.340546, 'z': -710.105164}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 879.949463, 'y': 201.71431, 'z': -179.463135}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 369.063629, 'y': 237.868469, 'z': -747.567322}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 728.265015, 'y': 150.018417, 'z': -328.448944}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 642.506531, 'y': 350.299286, 'z': -873.463623}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 975.236328, 'y': 150.320374, 'z': -644.559326}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 927.046143, 'y': 159.900238, 'z': -670.858276}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 3}
{'position': {'x': 159.267883, 'y': 289.693085, 'z': -922.18689}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 515.53302, 'y': 237.868469, 'z': -742.054871}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 757.124634, 'y': 150.430328, 'z': -361.189484}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 886.412415, 'y': 227.819809, 'z': -334.658478}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 497.911377, 'y': 267.825592, 'z': -876.808716}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 852.923462, 'y': 202.248077, 'z': -331.466766}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 444.969147, 'y': 150.408401, 'z': -400.688049}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 894.616333, 'y': 151.007217, 'z': -560.621521}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 625.811401, 'y': 224.554703, 'z': -459.335968}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 883.484436, 'y': 153.346405, 'z': -498.571991}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 772.077942, 'y': 153.757919, 'z': -304.482513}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 541.634949, 'y': 149.983704, 'z': -286.784027}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 864.00946, 'y': 190.552933, 'z': -636.411255}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 398.290802, 'y': 237.868469, 'z': -556.848022}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 567.364319, 'y': 258.391998, 'z': -760.642578}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 691.662231, 'y': 265.074615, 'z': -599.726013}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 541.861694, 'y': 237.868469, 'z': -537.304932}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 489.11908, 'y': 266.937134, 'z': -895.057373}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 501.063507, 'y': 237.868469, 'z': -596.684875}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 840.709351, 'y': 175.89476, 'z': -189.259415}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 585.728638, 'y': 237.868469, 'z': -662.443298}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 943.242737, 'y': 183.980804, 'z': -379.738068}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 574.142151, 'y': 237.868469, 'z': -646.047852}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 570.736084, 'y': 150.340729, 'z': -334.470795}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 780.165771, 'y': 149.5, 'z': -384.277771}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 509.108765, 'y': 267.276398, 'z': -863.94397}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 700.059692, 'y': 224.271118, 'z': -484.027008}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 825.932678, 'y': 175.372696, 'z': -182.857788}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 789.983582, 'y': 235.848831, 'z': -959.422668}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 550.177917, 'y': 237.868469, 'z': -530.565063}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 575.654663, 'y': 223.268814, 'z': -410.273773}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 660.913696, 'y': 224.172577, 'z': -473.873566}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 3}
