{'position': {'x': 975.504028, 'y': 149.5, 'z': -1461.805176}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 846.276245, 'y': 186.922546, 'z': -1312.534058}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 898.102112, 'y': 149.5, 'z': -1777.942627}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 737.539978, 'y': 149.972534, 'z': -1302.282593}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 757.649536, 'y': 149.5, 'z': -1488.890381}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 917.224304, 'y': 149.942017, 'z': -1127.303467}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 930.782471, 'y': 149.5, 'z': -1502.726807}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 690.021851, 'y': 149.972534, 'z': -1363.097656}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 293.34021, 'y': 195.074203, 'z': -1425.410645}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 795.558594, 'y': 149.5, 'z': -1635.361328}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 902.521484, 'y': 196.455765, 'z': -1268.662964}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 570.627563, 'y': 297.449493, 'z': -1029.696777}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 783.19635, 'y': 161.20462, 'z': -1583.602417}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 584.80426, 'y': 149.5, 'z': -1477.923828}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 945.945679, 'y': 149.5, 'z': -1718.752808}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 597.848999, 'y': 149.555756, 'z': -1572.808716}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 774.996704, 'y': 149.5, 'z': -1651.966919}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 779.300354, 'y': 149.5, 'z': -1473.522583}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 562.450012, 'y': 289.54776, 'z': -1061.402344}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 614.430237, 'y': 155.102737, 'z': -1291.960693}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 948.75354, 'y': 149.5, 'z': -1457.566162}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 644.192871, 'y': 149.5, 'z': -1416.824219}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 622.214539, 'y': 149.5, 'z': -1692.838989}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 602.509216, 'y': 149.5, 'z': -1434.377319}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 742.396423, 'y': 152.718582, 'z': -1686.432251}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 719.841431, 'y': 164.637466, 'z': -1739.132446}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 884.597656, 'y': 161.168427, 'z': -1461.58313}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 811.525269, 'y': 205.661285, 'z': -1223.960571}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 530.69696, 'y': 279.092529, 'z': -1009.325989}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 852.460144, 'y': 152.069168, 'z': -1031.276001}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 538.397522, 'y': 152.612015, 'z': -1540.57312}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 532.746277, 'y': 157.546143, 'z': -1666.704956}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 651.932312, 'y': 149.5, 'z': -1651.614502}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 707.609558, 'y': 241.254196, 'z': -1055.422485}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 487.521667, 'y': 160.307739, 'z': -1498.674561}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 584.352722, 'y': 149.5, 'z': -1420.049561}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 837.915649, 'y': 149.5, 'z': -1491.514526}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 280.696136, 'y': 288.112488, 'z': -1289.801758}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 950.226318, 'y': 149.5, 'z': -1746.108521}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 602.787659, 'y': 149.568848, 'z': -1442.845215}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 698.483765, 'y': 150.58786, 'z': -1268.06311}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 906.378662, 'y': 150.29425, 'z': -1434.842773}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 652.578552, 'y': 149.5, 'z': -1397.06665}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 283.582245, 'y': 200.021576, 'z': -1380.89624}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 401.086395, 'y': 152.917984, 'z': -1451.259521}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 660.161621, 'y': 149.5, 'z': -1742.692749}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 760.045288, 'y': 228.534943, 'z': -1136.839478}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 623.599548, 'y': 225.12648, 'z': -1176.702026}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 570.774231, 'y': 149.5, 'z': -1582.896606}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 231.917206, 'y': 310.709961, 'z': -1192.131836}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 791.2995, 'y': 149.972534, 'z': -1356.618652}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 927.075562, 'y': 159.935745, 'z': -1376.803223}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 631.568726, 'y': 150.430328, 'z': -1366.593262}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 252.298248, 'y': 201.787674, 'z': -1377.072021}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 714.252625, 'y': 149.5, 'z': -1494.214355}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 743.861145, 'y': 162.643219, 'z': -1733.522461}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 510.654968, 'y': 278.454865, 'z': -1016.393372}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 455.728821, 'y': 355.068634, 'z': -1148.939087}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 693.734741, 'y': 149.5, 'z': -1540.827148}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 379.467987, 'y': 183.912292, 'z': -1408.26355}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 535.68512, 'y': 149.5, 'z': -1614.851563}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'lake', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 916.050049, 'y': 151.278061, 'z': -1813.375122}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 775.497925, 'y': 153.440247, 'z': -1405.521851}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 563.087097, 'y': 290.389679, 'z': -1117.231567}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 921.108826, 'y': 149.5, 'z': -1758.337891}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 598.610168, 'y': 149.5, 'z': -1531.05188}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 668.659729, 'y': 149.5, 'z': -1636.656006}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 478.234283, 'y': 151.111984, 'z': -1551.629883}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 333.587402, 'y': 364.658752, 'z': -1190.429077}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 985.980591, 'y': 149.5, 'z': -1567.479736}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 775.241882, 'y': 227.819992, 'z': -1152.017822}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 983.228638, 'y': 149.5, 'z': -1549.280151}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 987.890991, 'y': 175.241058, 'z': -1381.498047}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 429.767517, 'y': 154.748581, 'z': -1473.904175}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 561.299988, 'y': 152.707092, 'z': -1455.564087}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 776.211182, 'y': 150.06308, 'z': -1541.094849}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 766.642639, 'y': 149.5, 'z': -1452.278931}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 456.03302, 'y': 326.64444, 'z': -1251.269775}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 748.217896, 'y': 149.95369, 'z': -1390.379272}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 655.223206, 'y': 149.972534, 'z': -1229.664795}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 664.054688, 'y': 149.5, 'z': -1267.321899}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'lake', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 827.812683, 'y': 167.990265, 'z': -1417.255493}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 899.230225, 'y': 193.218887, 'z': -1237.016968}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 993.220337, 'y': 149.5, 'z': -1458.698853}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 567.265808, 'y': 289.591919, 'z': -1116.352295}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 900.403137, 'y': 275.17041, 'z': -1587.432373}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 959.140625, 'y': 151.990677, 'z': -1827.470947}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 833.627014, 'y': 149.5, 'z': -1766.155396}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 840.935852, 'y': 149.5, 'z': -1816.16394}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 668.894348, 'y': 149.5, 'z': -1618.926392}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 471.451141, 'y': 212.722244, 'z': -1368.551636}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 622.021606, 'y': 150.629105, 'z': -1348.479492}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 774.592102, 'y': 151.731461, 'z': -1580.745483}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 948.772156, 'y': 149.5, 'z': -1476.400757}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 900.44989, 'y': 180.243835, 'z': -1202.480957}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 902.205811, 'y': 186.707199, 'z': -1326.931641}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 882.740417, 'y': 149.5, 'z': -1495.383911}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 821.056885, 'y': 149.5, 'z': -1811.064697}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 370.174713, 'y': 152.841354, 'z': -1435.284668}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 646.363098, 'y': 150.18132, 'z': -1377.588257}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 581.210327, 'y': 149.5, 'z': -1547.123291}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 620.712219, 'y': 149.5, 'z': -1474.744995}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 796.812988, 'y': 149.972534, 'z': -1370.290894}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 546.198792, 'y': 158.777374, 'z': -1639.708008}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 991.703308, 'y': 149.5, 'z': -1099.875122}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 855.30719, 'y': 149.5, 'z': -1796.708008}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 499.081421, 'y': 197.975128, 'z': -1414.57251}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 973.974121, 'y': 149.5, 'z': -1846.22998}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 477.933105, 'y': 197.671799, 'z': -1407.629395}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 512.940369, 'y': 153.360184, 'z': -1485.734253}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 437.329651, 'y': 158.603836, 'z': -1526.352661}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 965.081299, 'y': 175.090027, 'z': -1264.178589}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 959.087097, 'y': 160.208588, 'z': -1415.33252}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 815.278748, 'y': 205.862305, 'z': -1214.700928}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 782.442322, 'y': 149.594269, 'z': -1563.911011}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 908.856384, 'y': 149.5, 'z': -1092.231201}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 578.185364, 'y': 149.5, 'z': -1476.083252}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 830.575806, 'y': 162.855377, 'z': -1079.607178}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 646.394592, 'y': 149.5, 'z': -1528.328491}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 936.033997, 'y': 150.308395, 'z': -1120.245483}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 956.034973, 'y': 149.5, 'z': -1441.677002}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 440.423859, 'y': 323.413788, 'z': -1244.277344}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 601.227966, 'y': 149.5, 'z': -1654.981567}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 823.399109, 'y': 149.5, 'z': -1805.011719}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 725.77124, 'y': 149.971848, 'z': -1307.644165}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 360.118958, 'y': 154.637482, 'z': -1409.954224}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 485.85202, 'y': 324.951538, 'z': -1226.674927}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 758.436584, 'y': 149.5, 'z': -1585.327271}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 930.813843, 'y': 149.5, 'z': -1073.3479}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 815.132935, 'y': 149.5, 'z': -1781.476318}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 599.402527, 'y': 149.5, 'z': -1413.098511}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 715.209106, 'y': 150.553558, 'z': -1244.908203}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 892.961121, 'y': 187.74379, 'z': -1330.60144}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 656.836426, 'y': 149.5, 'z': -1712.060303}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 273.50946, 'y': 325.523041, 'z': -1224.513794}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 798.488464, 'y': 149.5, 'z': -1768.590576}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 598.830872, 'y': 149.826996, 'z': -1560.779785}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 674.833496, 'y': 149.505859, 'z': -1664.244263}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 813.575134, 'y': 149.5, 'z': -1700.731445}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
