{'position': {'x': 1197.959839, 'y': 240.439575, 'z': -866.304688}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 864.530701, 'y': 292.629211, 'z': -749.42804}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1203.444458, 'y': 243.319992, 'z': -854.876587}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 995.724487, 'y': 274.177399, 'z': -740.789307}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 797.174072, 'y': 295.997345, 'z': -751.607666}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1302.244873, 'y': 253.05983, 'z': -902.07251}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 882.008911, 'y': 313.75116, 'z': -805.943298}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1240.078979, 'y': 235.431366, 'z': -877.210266}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 997.887695, 'y': 273.509918, 'z': -726.211365}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1247.876099, 'y': 232.269638, 'z': -840.892212}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1136.847046, 'y': 252.448807, 'z': -761.491821}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1151.842896, 'y': 250.5, 'z': -809.579224}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 980.217773, 'y': 324.357391, 'z': -767.836731}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 790.70105, 'y': 295.721344, 'z': -754.868713}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1222.300903, 'y': 240.147354, 'z': -859.848999}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 816.547913, 'y': 293.544952, 'z': -729.07019}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 823.859253, 'y': 295.645264, 'z': -769.605896}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1161.81958, 'y': 251.322983, 'z': -727.472168}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 839.574646, 'y': 298.855438, 'z': -773.410156}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 890.386047, 'y': 296.044342, 'z': -703.771301}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1265.943726, 'y': 228.735901, 'z': -904.274353}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 1260.745361, 'y': 231.782333, 'z': -808.725159}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1285.963989, 'y': 225.933472, 'z': -868.093628}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1259.042847, 'y': 230.76886, 'z': -859.595398}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1214.583618, 'y': 243.965591, 'z': -843.279846}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 946.798828, 'y': 284.029388, 'z': -754.466919}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1093.161743, 'y': 256.372803, 'z': -744.751282}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 1214.297607, 'y': 244.155243, 'z': -755.484009}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1052.407227, 'y': 266.389587, 'z': -705.646362}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1212.491821, 'y': 236.168243, 'z': -882.31073}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 813.666992, 'y': 294.330627, 'z': -749.059692}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1351.060059, 'y': 240.699036, 'z': -901.91748}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1131.118286, 'y': 254.051819, 'z': -802.64032}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 905.986877, 'y': 321.196808, 'z': -820.759888}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1154.315796, 'y': 250.5, 'z': -782.657043}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 1232.545532, 'y': 237.85968, 'z': -884.238098}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 797.002747, 'y': 297.869263, 'z': -741.039856}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1089.792114, 'y': 259.374817, 'z': -826.065308}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1169.826538, 'y': 250.5, 'z': -821.053833}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 862.561768, 'y': 293.5401, 'z': -773.106995}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 896.122437, 'y': 289.499786, 'z': -735.766846}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1019.668396, 'y': 267.743256, 'z': -724.569824}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1254.039551, 'y': 232.58696, 'z': -886.964111}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 948.440125, 'y': 294.668793, 'z': -825.800232}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 896.73175, 'y': 294.215485, 'z': -710.599182}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1287.645752, 'y': 226.138168, 'z': -819.198303}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 878.902588, 'y': 290.735565, 'z': -742.913574}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 789.614014, 'y': 294.457336, 'z': -765.408264}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 858.093262, 'y': 292.962646, 'z': -741.786621}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 910.884766, 'y': 462.618774, 'z': -883.950684}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1205.798462, 'y': 328.77832, 'z': -786.465576}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1243.866211, 'y': 234.409698, 'z': -804.207153}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1231.7146, 'y': 236.466644, 'z': -829.99292}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 947.158936, 'y': 324.299957, 'z': -803.486572}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1226.642212, 'y': 237.653595, 'z': -822.548523}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1117.999512, 'y': 254.101456, 'z': -791.788025}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1139.640869, 'y': 253.530746, 'z': -790.448853}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1235.016602, 'y': 236.204529, 'z': -842.149902}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 874.833923, 'y': 292.216553, 'z': -753.043945}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1110.198364, 'y': 254.901855, 'z': -782.115112}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1099.412842, 'y': 254.827866, 'z': -730.761108}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 771.88916, 'y': 298.460693, 'z': -742.765015}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1058.255981, 'y': 259.665924, 'z': -815.620239}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1239.84082, 'y': 235.401184, 'z': -856.610962}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1100.381958, 'y': 255.319885, 'z': -807.148926}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1143.608887, 'y': 251.92984, 'z': -738.089783}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1136.389648, 'y': 252.548706, 'z': -748.411987}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1285.690918, 'y': 225.726868, 'z': -830.181702}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 967.438416, 'y': 324.338135, 'z': -788.989197}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 958.737671, 'y': 324.285706, 'z': -792.4328}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1218.43042, 'y': 327.255585, 'z': -780.827881}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1141.680664, 'y': 250.5, 'z': -813.436768}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 854.273193, 'y': 293.060364, 'z': -739.116333}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1266.989502, 'y': 231.179764, 'z': -882.672058}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 796.826233, 'y': 294.543671, 'z': -768.623596}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 832.307983, 'y': 293.176514, 'z': -714.406128}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1136.934326, 'y': 253.168488, 'z': -786.496094}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 954.789185, 'y': 324.313934, 'z': -805.006897}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1190.765869, 'y': 249.295517, 'z': -764.02417}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 971.901978, 'y': 279.687286, 'z': -729.19989}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1236.631104, 'y': 235.975357, 'z': -864.120117}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1089.343872, 'y': 255.899231, 'z': -805.881104}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1160.169312, 'y': 250.5, 'z': -774.67926}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 1128.237427, 'y': 255.290237, 'z': -717.20282}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 883.2099, 'y': 291.257416, 'z': -725.737549}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'hate_kusa', 'area_no': 4}
{'position': {'x': 888.65686, 'y': 317.665985, 'z': -823.561707}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 905.475037, 'y': 291.031128, 'z': -714.296997}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1260.022827, 'y': 230.207535, 'z': -855.023193}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 889.520569, 'y': 291.758606, 'z': -787.475769}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1235.143188, 'y': 234.833374, 'z': -825.874268}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1203.384277, 'y': 238.435272, 'z': -874.168091}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 909.619751, 'y': 288.645508, 'z': -743.586853}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1036.001831, 'y': 347.572021, 'z': -806.19812}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 812.625122, 'y': 295.49704, 'z': -767.578247}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1276.082275, 'y': 229.818146, 'z': -807.709839}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 790.645264, 'y': 297.520691, 'z': -744.706055}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 971.908203, 'y': 290.869629, 'z': -832.812622}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1187.084961, 'y': 255.344223, 'z': -717.238281}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 844.399963, 'y': 293.334656, 'z': -736.395935}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 875.421265, 'y': 294.48233, 'z': -710.571594}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1087.221802, 'y': 264.440735, 'z': -730.695068}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1289.964722, 'y': 225.460083, 'z': -845.750427}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1180.641235, 'y': 251.145996, 'z': -765.486511}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1150.773193, 'y': 251.385345, 'z': -742.798584}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1162.644165, 'y': 250.5, 'z': -814.552002}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 1210.602905, 'y': 243.867844, 'z': -850.947693}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1214.912109, 'y': 241.741348, 'z': -869.887756}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 865.37616, 'y': 309.925537, 'z': -803.489258}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1249.7146, 'y': 232.674911, 'z': -895.097351}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 932.637939, 'y': 324.296875, 'z': -819.406067}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 863.822632, 'y': 292.355316, 'z': -738.320984}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 854.419678, 'y': 373.539581, 'z': -833.242798}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1217.165894, 'y': 241.893494, 'z': -860.252197}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 861.42688, 'y': 293.27063, 'z': -762.159729}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 951.765991, 'y': 324.342499, 'z': -814.018677}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 899.748108, 'y': 318.578949, 'z': -803.372559}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
