{'position': {'x': 797.203674, 'y': 181.719055, 'z': -1510.565674}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 467.048492, 'y': 194.733353, 'z': -1301.157349}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 627.783203, 'y': 177.17717, 'z': -1541.416504}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 613.459412, 'y': 185.691742, 'z': -1408.474365}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 438.453857, 'y': 198.182709, 'z': -1303.219727}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 804.941833, 'y': 182.935776, 'z': -1499.891113}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 559.931824, 'y': 184.718323, 'z': -1603.624023}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 369.614441, 'y': 187.593628, 'z': -1446.792358}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 464.86319, 'y': 186.012268, 'z': -1577.758179}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 420.076202, 'y': 180.995758, 'z': -1498.569092}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 831.895935, 'y': 180.774796, 'z': -1513.994019}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 382.192535, 'y': 186.460342, 'z': -1547.544189}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 637.967957, 'y': 186.050018, 'z': -1451.400635}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 445.743774, 'y': 194.764999, 'z': -1311.003906}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 506.554382, 'y': 188.625427, 'z': -1581.974854}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 368.699768, 'y': 188.546539, 'z': -1646.706421}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 520.988037, 'y': 188.163208, 'z': -1429.357422}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 802.619019, 'y': 182.2276, 'z': -1530.030884}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 616.637207, 'y': 185.03067, 'z': -1414.940063}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 419.7276, 'y': 186.8741, 'z': -1624.494507}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 625.565918, 'y': 180.199631, 'z': -1523.964478}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 461.217926, 'y': 184.009277, 'z': -1349.365601}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 747.040405, 'y': 190.605637, 'z': -1506.23645}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 465.952911, 'y': 198.76088, 'z': -1537.651489}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 531.135193, 'y': 180.931351, 'z': -1392.85083}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 444.210083, 'y': 184.146439, 'z': -1353.64563}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 451.589539, 'y': 200.359436, 'z': -1440.933716}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 623.726196, 'y': 183.219299, 'z': -1432.772461}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 347.383057, 'y': 184.709442, 'z': -1533.721313}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 537.666077, 'y': 192.71492, 'z': -1561.643433}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 645.036682, 'y': 183.449432, 'z': -1593.310303}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 736.917786, 'y': 187.290283, 'z': -1602.999146}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 367.325439, 'y': 193.400879, 'z': -1352.630859}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 344.662781, 'y': 185.047348, 'z': -1525.506592}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 558.7771, 'y': 186.146072, 'z': -1488.664185}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 436.627838, 'y': 187.196487, 'z': -1625.256226}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 737.783142, 'y': 192.021835, 'z': -1505.346802}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 498.974274, 'y': 189.153488, 'z': -1500.298218}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 541.37677, 'y': 182.730331, 'z': -1417.238281}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 712.356995, 'y': 185.495941, 'z': -1430.592651}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 588.682922, 'y': 180.328506, 'z': -1557.470947}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 534.003357, 'y': 190.528046, 'z': -1549.36377}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 450.385223, 'y': 186.965134, 'z': -1571.92395}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 454.456451, 'y': 184.831223, 'z': -1344.978882}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 634.358643, 'y': 186.386902, 'z': -1453.449097}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 522.695496, 'y': 192.255524, 'z': -1503.148071}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 494.425812, 'y': 181.518143, 'z': -1384.087036}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 445.724335, 'y': 199.682007, 'z': -1436.151367}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 461.009583, 'y': 183.158234, 'z': -1389.49292}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 508.206299, 'y': 190.244339, 'z': -1474.501465}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 471.740601, 'y': 192.644928, 'z': -1425.221313}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 830.660889, 'y': 183.709, 'z': -1542.67395}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 663.396179, 'y': 187.376709, 'z': -1638.962524}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 377.766785, 'y': 186.26181, 'z': -1635.479858}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 707.078735, 'y': 191.209305, 'z': -1582.570557}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 416.359558, 'y': 181.928116, 'z': -1502.219238}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 355.776672, 'y': 196.107697, 'z': -1378.929688}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 347.616882, 'y': 186.588913, 'z': -1486.550415}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 665.056641, 'y': 186.68895, 'z': -1646.330078}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 508.078522, 'y': 198.151703, 'z': -1468.309937}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 688.674194, 'y': 184.139374, 'z': -1662.401123}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 503.97821, 'y': 190.995193, 'z': -1538.99939}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 529.498169, 'y': 187.793579, 'z': -1452.635498}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 759.926208, 'y': 185.60498, 'z': -1574.375}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 518.853943, 'y': 190.207993, 'z': -1433.877319}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 607.449402, 'y': 190.556412, 'z': -1489.068604}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 477.555695, 'y': 184.753784, 'z': -1350.162598}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 428.501984, 'y': 185.539612, 'z': -1356.175049}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 374.168549, 'y': 189.6474, 'z': -1509.928345}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 335.955475, 'y': 187.777451, 'z': -1389.890503}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 373.498352, 'y': 188.460068, 'z': -1519.11084}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 653.520752, 'y': 185.379089, 'z': -1445.422729}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 842.181152, 'y': 182.23439, 'z': -1483.112305}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 656.639343, 'y': 187.87117, 'z': -1646.234497}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 655.507324, 'y': 183.775848, 'z': -1432.555298}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 548.124756, 'y': 190.878784, 'z': -1534.243652}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 745.429321, 'y': 191.756668, 'z': -1528.285522}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 379.958435, 'y': 191.01857, 'z': -1437.445801}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 668.788452, 'y': 185.41835, 'z': -1409.283325}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 784.253174, 'y': 183.597153, 'z': -1515.67334}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 629.914185, 'y': 187.178909, 'z': -1662.017822}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 353.845978, 'y': 183.253098, 'z': -1623.724854}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
