{'position': {'x': 943.390381, 'y': 448.299988, 'z': -1024.67041}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'hate_kusa', 'area_no': 6}
{'position': {'x': 1001.268066, 'y': 452.277679, 'z': -956.13501}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1017.012451, 'y': 452.08725, 'z': -1041.708984}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 982.124146, 'y': 448.299988, 'z': -1007.979858}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 1035.540283, 'y': 448.969788, 'z': -974.041565}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 931.172668, 'y': 456.996887, 'z': -931.634705}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 961.928162, 'y': 448.299988, 'z': -963.974609}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 945.635132, 'y': 448.299988, 'z': -999.558411}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1013.133362, 'y': 450.688202, 'z': -1003.954895}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 985.37146, 'y': 448.299988, 'z': -981.679504}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'hate_kusa', 'area_no': 6}
{'position': {'x': 1031.109741, 'y': 452.675903, 'z': -985.90625}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 914.739197, 'y': 448.791077, 'z': -990.928284}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1041.973267, 'y': 449.105682, 'z': -1004.293762}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 985.066162, 'y': 448.299988, 'z': -969.187561}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'hate_kusa', 'area_no': 6}
{'position': {'x': 914.350098, 'y': 450.032318, 'z': -974.700623}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1002.057678, 'y': 448.314056, 'z': -996.746887}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 925.210999, 'y': 448.788361, 'z': -965.278992}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1006.622131, 'y': 451.528595, 'z': -1046.798096}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 877.372742, 'y': 461.248535, 'z': -992.055725}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 998.095764, 'y': 451.980774, 'z': -934.22168}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 938.215454, 'y': 451.525726, 'z': -1043.967163}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 960.54248, 'y': 448.299988, 'z': -1018.853943}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 970.905396, 'y': 448.351257, 'z': -1046.011963}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 900.12854, 'y': 451.329285, 'z': -1066.800903}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'hate_kusa', 'area_no': 6}
{'position': {'x': 938.875671, 'y': 453.903564, 'z': -922.617126}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 926.875916, 'y': 448.792908, 'z': -964.469238}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 979.002991, 'y': 448.299988, 'z': -1031.52417}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 984.706543, 'y': 450.597229, 'z': -936.391541}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 956.764893, 'y': 448.665558, 'z': -1047.450317}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 946.601624, 'y': 448.299988, 'z': -990.652527}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 972.1745, 'y': 448.761017, 'z': -1054.481201}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 872.23938, 'y': 449.074005, 'z': -1046.617065}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 965.789368, 'y': 448.851013, 'z': -1059.244629}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 921.067078, 'y': 448.813599, 'z': -987.27124}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1003.637085, 'y': 448.788361, 'z': -1036.027466}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 931.648376, 'y': 450.793549, 'z': -1042.753052}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 972.429993, 'y': 448.299988, 'z': -996.809082}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 912.696411, 'y': 448.823303, 'z': -1003.212158}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 908.441406, 'y': 449.768585, 'z': -1057.342773}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 924.699707, 'y': 449.491547, 'z': -1070.686401}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 913.018677, 'y': 449.308472, 'z': -948.501038}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 947.814148, 'y': 448.299988, 'z': -1033.758667}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 958.701416, 'y': 448.299988, 'z': -970.868286}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'hate_kusa', 'area_no': 6}
{'position': {'x': 911.538818, 'y': 448.788361, 'z': -1027.422607}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 913.313843, 'y': 448.788361, 'z': -1032.927979}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 971.930786, 'y': 448.299988, 'z': -976.798462}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 1030.148682, 'y': 450.320953, 'z': -1006.323303}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 949.113892, 'y': 448.299988, 'z': -1010.591919}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 896.288574, 'y': 450.07132, 'z': -1011.630249}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 943.648071, 'y': 448.299988, 'z': -1021.369995}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 1027.367676, 'y': 455.288452, 'z': -971.972107}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 968.635254, 'y': 448.299988, 'z': -1031.522583}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 957.338379, 'y': 448.885956, 'z': -1069.826904}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 913.135559, 'y': 448.788361, 'z': -1030.901367}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1003.497192, 'y': 449.121765, 'z': -1029.457275}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 917.465088, 'y': 456.10437, 'z': -937.631836}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 883.232117, 'y': 456.635162, 'z': -1007.38208}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 957.712158, 'y': 448.788361, 'z': -1092.125732}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 918.383057, 'y': 448.85788, 'z': -963.595825}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 895.234192, 'y': 450.436401, 'z': -1038.624023}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 998.444946, 'y': 449.592194, 'z': -1026.79834}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 968.547424, 'y': 448.299988, 'z': -988.244141}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 935.144592, 'y': 448.299988, 'z': -999.879578}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 952.532349, 'y': 448.299988, 'z': -1035.54895}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 931.446289, 'y': 449.457153, 'z': -1053.21936}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 995.6026, 'y': 450.5224, 'z': -945.395081}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1020.789368, 'y': 449.150665, 'z': -1013.431519}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 915.148132, 'y': 448.840057, 'z': -1016.142822}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 973.022217, 'y': 448.757843, 'z': -1061.712769}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 973.927795, 'y': 448.299988, 'z': -986.392334}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 965.800476, 'y': 449.748413, 'z': -1093.991577}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 952.189575, 'y': 448.299988, 'z': -1021.454834}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 1017.879395, 'y': 453.891663, 'z': -987.654907}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 932.523438, 'y': 450.066681, 'z': -1076.46228}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1048.362671, 'y': 451.204376, 'z': -989.828857}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1017.430237, 'y': 454.92865, 'z': -960.254944}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 941.632935, 'y': 452.03775, 'z': -937.435791}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 918.929871, 'y': 448.970581, 'z': -1022.058105}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 965.965881, 'y': 450.476318, 'z': -947.414246}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1044.449707, 'y': 449.772949, 'z': -978.5}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1001.855957, 'y': 453.7854, 'z': -965.029297}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 937.426514, 'y': 449.166168, 'z': -964.360962}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 923.17511, 'y': 448.299988, 'z': -1002.080811}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 985.393738, 'y': 448.299988, 'z': -1009.192444}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1012.253662, 'y': 449.017334, 'z': -1019.026794}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 915.583862, 'y': 448.864563, 'z': -1015.073364}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 897.355469, 'y': 452.210388, 'z': -1059.708984}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 900.971924, 'y': 449.179352, 'z': -1030.788086}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 933.34906, 'y': 448.840515, 'z': -964.336121}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 892.732178, 'y': 449.031677, 'z': -1033.505493}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 897.943481, 'y': 459.838623, 'z': -986.059204}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 978.911438, 'y': 448.649628, 'z': -1040.744873}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 972.145813, 'y': 448.299988, 'z': -988.564087}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 977.983276, 'y': 450.199463, 'z': -1074.752197}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1030.994873, 'y': 448.859924, 'z': -963.036987}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 931.984497, 'y': 448.818878, 'z': -967.01178}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 974.22821, 'y': 448.424774, 'z': -1047.529297}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 942.988892, 'y': 448.299988, 'z': -971.340088}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 971.718872, 'y': 448.299988, 'z': -1028.497803}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 888.866699, 'y': 449.41861, 'z': -1035.660645}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 958.5672, 'y': 448.299988, 'z': -985.53363}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 963.213745, 'y': 448.299988, 'z': -1030.78833}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'hate_kusa', 'area_no': 6}
{'position': {'x': 963.487183, 'y': 448.299988, 'z': -1024.031128}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 988.81012, 'y': 450.776825, 'z': -1069.492798}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 988.407898, 'y': 448.788361, 'z': -1044.360229}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 939.771423, 'y': 449.765259, 'z': -1036.700562}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 947.458862, 'y': 448.299988, 'z': -959.019287}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
