{'position': {'x': 529.604187, 'y': 27.0, 'z': -913.678772}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 765.931946, 'y': 296.093018, 'z': -1294.783447}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1132.23645, 'y': 140.402817, 'z': -1272.136963}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 767.218201, 'y': 27.0, 'z': -783.694824}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1130.061035, 'y': 438.753204, 'z': -1207.111938}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1120.110596, 'y': 141.650406, 'z': -1277.640625}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 735.682678, 'y': 289.446381, 'z': -1317.677612}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1220.821167, 'y': 379.798431, 'z': -1211.18811}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 818.17749, 'y': 299.643158, 'z': -1295.154053}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1254.863281, 'y': 27.0, 'z': -875.856567}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1013.834045, 'y': 334.77301, 'z': -1233.989868}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1174.864624, 'y': 434.254883, 'z': -1191.668823}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 960.908936, 'y': 300.628479, 'z': -1188.811401}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1086.554565, 'y': 147.05011, 'z': -1333.384277}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 641.203491, 'y': 27.0, 'z': -1297.478271}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 744.919373, 'y': 300.179626, 'z': -1033.459229}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 624.715088, 'y': 27.0, 'z': -808.825562}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 949.910278, 'y': 300.32489, 'z': -1119.100586}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 954.377136, 'y': 27.0, 'z': -761.020264}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1077.57019, 'y': 367.398193, 'z': -979.708191}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 769.286621, 'y': 299.884491, 'z': -1198.182251}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 904.51178, 'y': 293.241852, 'z': -1359.943359}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 703.412231, 'y': 302.653076, 'z': -1181.443359}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1071.382813, 'y': 295.090942, 'z': -1206.711914}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 528.083313, 'y': 27.0, 'z': -1228.355713}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 531.933228, 'y': 27.0, 'z': -1053.249023}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1171.364258, 'y': 436.756195, 'z': -1155.790039}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1190.637329, 'y': 136.000275, 'z': -1277.90918}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1044.60144, 'y': 340.596985, 'z': -1095.578125}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 771.661987, 'y': 296.21521, 'z': -1296.736938}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 810.328186, 'y': 27.0, 'z': -807.565552}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 622.120972, 'y': 27.0, 'z': -1292.013916}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 889.990967, 'y': 284.370209, 'z': -1425.332031}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1178.141113, 'y': 439.244995, 'z': -1262.012329}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 872.360596, 'y': 300.47229, 'z': -1316.569336}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'suna_sunahama', 'area_no': 6}
{'position': {'x': 1154.629395, 'y': 408.166992, 'z': -1130.501953}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1089.191895, 'y': 145.875992, 'z': -1321.338867}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1113.60083, 'y': 27.0, 'z': -780.919495}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1168.7146, 'y': 408.228027, 'z': -1116.755371}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 842.883789, 'y': 300.056915, 'z': -1267.039429}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 973.911133, 'y': 27.0, 'z': -780.887634}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 720.751404, 'y': 298.849396, 'z': -1015.560364}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 792.063354, 'y': 304.762177, 'z': -961.91803}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 644.294617, 'y': 27.0, 'z': -1454.371582}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 955.59491, 'y': 302.807404, 'z': -1029.797363}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 729.526428, 'y': 285.342865, 'z': -1372.010986}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 706.718811, 'y': 301.366608, 'z': -1229.121094}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 739.065613, 'y': 289.408569, 'z': -1325.485474}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1088.471802, 'y': 340.719055, 'z': -1040.120605}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'ruins', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1278.672119, 'y': 237.789703, 'z': -995.9151}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 860.143127, 'y': 289.476898, 'z': -1388.923096}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 838.093628, 'y': 300.121552, 'z': -1187.713135}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 755.57373, 'y': 300.21817, 'z': -1204.923828}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 936.083801, 'y': 301.904572, 'z': -1180.564087}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1235.557007, 'y': 238.356827, 'z': -971.176819}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 505.95224, 'y': 27.0, 'z': -1395.848389}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 669.989075, 'y': 302.28067, 'z': -1204.13562}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 686.822571, 'y': 298.397064, 'z': -1044.145996}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 925.178955, 'y': 27.0, 'z': -782.058228}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1089.071411, 'y': 295.631134, 'z': -1198.412842}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 843.766235, 'y': 300.341827, 'z': -984.950256}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 951.118286, 'y': 300.458466, 'z': -1138.585449}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 716.582153, 'y': 27.0, 'z': -791.137146}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 778.283752, 'y': 27.0, 'z': -811.383728}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 858.506775, 'y': 277.357452, 'z': -1449.48938}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 756.78241, 'y': 274.288422, 'z': -1436.357788}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 793.280273, 'y': 293.348053, 'z': -1335.87085}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1259.934814, 'y': 127.479736, 'z': -1265.537842}, 'level_range': {'x': 37.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1036.957886, 'y': 339.330353, 'z': -1061.740601}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1057.983398, 'y': 300.468811, 'z': -910.545532}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1117.207886, 'y': 371.4216, 'z': -970.204285}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 814.519165, 'y': 301.65744, 'z': -974.510864}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 905.487488, 'y': 303.88797, 'z': -954.750977}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 694.354614, 'y': 298.784729, 'z': -1014.833252}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 899.448792, 'y': 300.389282, 'z': -992.730042}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 506.347321, 'y': 27.0, 'z': -1362.903564}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 958.256104, 'y': 300.526154, 'z': -1142.756592}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 978.786194, 'y': 300.119751, 'z': -949.236328}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 717.507507, 'y': 278.660553, 'z': -1398.747803}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 919.328125, 'y': 303.94751, 'z': -942.549622}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1253.614624, 'y': 239.033432, 'z': -1001.181824}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 808.153564, 'y': 304.053772, 'z': -958.917664}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 890.027649, 'y': 293.173615, 'z': -1349.354126}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 750.520508, 'y': 298.381042, 'z': -1252.790161}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1239.251953, 'y': 27.0, 'z': -920.887085}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1056.990723, 'y': 366.689178, 'z': -933.706421}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 771.289246, 'y': 301.670746, 'z': -988.636963}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 926.237854, 'y': 300.501068, 'z': -1151.765137}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 729.383423, 'y': 300.071442, 'z': -1030.584595}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 752.17627, 'y': 27.0, 'z': -835.29071}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 760.617065, 'y': 295.567047, 'z': -1296.465454}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 710.028442, 'y': 290.176697, 'z': -1290.981445}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 719.596252, 'y': 300.313446, 'z': -1273.056519}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 884.174133, 'y': 300.250275, 'z': -1176.19043}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 907.050415, 'y': 284.482056, 'z': -1417.877075}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1189.922607, 'y': 399.030273, 'z': -1052.801025}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 635.615051, 'y': 27.0, 'z': -821.247253}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1214.557007, 'y': 410.097473, 'z': -1056.565674}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 503.372986, 'y': 27.0, 'z': -1296.328613}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1273.130493, 'y': 238.034271, 'z': -994.725342}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 736.440002, 'y': 27.0, 'z': -788.634521}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 660.336548, 'y': 296.085938, 'z': -1032.219604}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1089.123169, 'y': 143.89682, 'z': -1287.546143}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 513.70636, 'y': 27.0, 'z': -1188.872803}, 'level_range': {'x': 40.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1281.811401, 'y': 127.525291, 'z': -1300.375854}, 'level_range': {'x': 37.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 798.393799, 'y': 282.48172, 'z': -1423.059692}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 825.794617, 'y': 299.908325, 'z': -1210.477661}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 900.493469, 'y': 300.735565, 'z': -983.964478}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1296.395142, 'y': 127.662819, 'z': -1286.108765}, 'level_range': {'x': 37.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 828.016052, 'y': 289.246643, 'z': -1401.9646}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 943.11731, 'y': 300.036621, 'z': -985.64624}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1118.738281, 'y': 439.187317, 'z': -1231.149658}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1271.721436, 'y': 126.814445, 'z': -1263.274902}, 'level_range': {'x': 37.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 688.620239, 'y': 27.0, 'z': -814.508972}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 788.590088, 'y': 299.039368, 'z': -1245.7771}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1119.820679, 'y': 372.33429, 'z': -995.015076}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1175.863403, 'y': 434.254883, 'z': -1198.644043}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 890.561462, 'y': 300.736603, 'z': -1314.12915}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 873.792908, 'y': 300.006104, 'z': -1211.066162}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 882.184509, 'y': 292.105255, 'z': -1388.493286}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 744.656006, 'y': 301.22522, 'z': -1160.236206}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 896.487244, 'y': 293.326447, 'z': -1379.33252}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1204.477295, 'y': 439.174744, 'z': -1256.598389}, 'level_range': {'x': 37.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1203.566284, 'y': 136.076065, 'z': -1314.100342}, 'level_range': {'x': 37.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1265.896729, 'y': 238.20929, 'z': -996.493591}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'iwa', 'area_no': 6}
