{'position': {'x': 2559.166016, 'y': 436.4711, 'z': -3563.982422}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2912.822266, 'y': 199.866898, 'z': -3122.901123}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2483.831787, 'y': 307.740417, 'z': -3123.512695}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2432.912598, 'y': 250.3815, 'z': -3419.878174}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2873.467529, 'y': 197.156586, 'z': -2958.068359}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2279.37207, 'y': 273.887878, 'z': -3151.74585}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2915.019287, 'y': 201.297913, 'z': -3057.50293}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3027.959717, 'y': 187.899399, 'z': -3014.260254}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3250.554199, 'y': 482.019745, 'z': -3853.468506}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2304.295898, 'y': 270.24176, 'z': -3165.919434}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3190.425781, 'y': 509.102997, 'z': -3795.120605}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2421.213379, 'y': 253.763428, 'z': -3452.602539}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2730.069336, 'y': 310.766724, 'z': -3379.417969}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2998.899414, 'y': 199.963379, 'z': -2754.139648}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2268.202393, 'y': 251.746292, 'z': -3167.325684}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3315.90918, 'y': 452.342468, 'z': -3868.20752}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2879.966797, 'y': 458.153107, 'z': -3513.903076}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2970.722656, 'y': 175.727722, 'z': -2890.23584}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2963.056152, 'y': 199.922531, 'z': -3049.722168}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2722.652588, 'y': 312.871948, 'z': -3400.976563}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2896.936523, 'y': 298.114929, 'z': -3277.918701}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3155.892578, 'y': 542.489258, 'z': -3961.303711}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2849.578857, 'y': 457.2258, 'z': -3492.062744}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3015.442871, 'y': 429.710297, 'z': -3494.574463}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3088.800537, 'y': 199.993896, 'z': -2647.716797}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2538.513184, 'y': 348.059296, 'z': -3209.479004}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3425.074219, 'y': 400.40509, 'z': -4012.265381}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2917.385498, 'y': 199.421417, 'z': -3133.484375}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2746.651123, 'y': 548.190674, 'z': -3728.003906}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2339.309082, 'y': 293.224976, 'z': -3146.04248}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2883.649902, 'y': 189.766708, 'z': -2907.800537}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3308.246338, 'y': 452.871002, 'z': -3928.172607}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2604.06958, 'y': 335.561707, 'z': -3462.466553}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3318.569092, 'y': 408.537689, 'z': -3769.641602}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2816.058838, 'y': 481.785187, 'z': -3563.089844}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2867.565674, 'y': 501.026062, 'z': -3632.592529}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2737.589355, 'y': 317.340027, 'z': -3401.816162}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 17}
{'position': {'x': 2715.754395, 'y': 338.951447, 'z': -3445.035889}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2965.123535, 'y': 200.085464, 'z': -2802.439453}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2643.889893, 'y': 297.398926, 'z': -3190.303223}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2982.920166, 'y': 182.598389, 'z': -2947.487549}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2632.555908, 'y': 356.151978, 'z': -3425.10498}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2426.54126, 'y': 334.940155, 'z': -3574.933594}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2878.892578, 'y': 200.15535, 'z': -3150.300049}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2569.649902, 'y': 352.583527, 'z': -3345.248535}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2956.993408, 'y': 384.140442, 'z': -3434.717529}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2675.157471, 'y': 300.93222, 'z': -3156.738281}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3004.087891, 'y': 471.773682, 'z': -3556.662842}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3089.610107, 'y': 414.852722, 'z': -3514.563477}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3422.434814, 'y': 421.177948, 'z': -3972.977783}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3057.305908, 'y': 568.736938, 'z': -3938.078613}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2397.390137, 'y': 253.562073, 'z': -3248.479004}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2657.515381, 'y': 298.622162, 'z': -3190.027344}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2286.478516, 'y': 279.265472, 'z': -3120.675049}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 17}
{'position': {'x': 2974.814941, 'y': 172.846497, 'z': -2872.638672}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3034.502441, 'y': 163.660706, 'z': -2887.724365}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2839.45459, 'y': 250.868195, 'z': -3181.161377}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2916.636475, 'y': 200.327469, 'z': -3098.046143}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3074.197021, 'y': 164.131424, 'z': -2886.590332}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2803.23291, 'y': 414.605469, 'z': -3427.997803}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3066.730713, 'y': 199.993896, 'z': -2673.026855}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3214.92334, 'y': 494.513123, 'z': -3780.571289}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3124.50708, 'y': 490.297272, 'z': -3637.39209}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2585.624512, 'y': 355.043884, 'z': -3400.541016}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2477.584229, 'y': 251.048386, 'z': -3328.288086}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2687.83252, 'y': 322.436951, 'z': -3329.913818}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2506.12085, 'y': 315.13446, 'z': -3415.265869}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3456.811768, 'y': 363.714783, 'z': -4109.37793}, 'level_range': {'x': 40.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3008.170654, 'y': 609.313232, 'z': -3772.21582}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3361.572998, 'y': 423.396179, 'z': -3978.967285}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3304.698975, 'y': 448.876648, 'z': -3960.944824}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3338.383789, 'y': 396.97757, 'z': -3792.532227}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 17}
{'position': {'x': 2849.001953, 'y': 490.567719, 'z': -3604.070068}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2415.072021, 'y': 253.31189, 'z': -3460.827637}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3260.657471, 'y': 465.941833, 'z': -3903.241943}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3316.82373, 'y': 450.089539, 'z': -3923.448242}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3088.05835, 'y': 565.736145, 'z': -3791.011719}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2759.377686, 'y': 250.350571, 'z': -3107.913818}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2609.300537, 'y': 346.71933, 'z': -3357.665527}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3100.085205, 'y': 163.464951, 'z': -2938.291504}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3068.867432, 'y': 200.175278, 'z': -2724.156494}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2960.067627, 'y': 178.360031, 'z': -2891.731689}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'tsuchi', 'area_no': 17}
{'position': {'x': 3214.452393, 'y': 503.267914, 'z': -3970.498779}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2867.208984, 'y': 218.970459, 'z': -3104.042236}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3019.200439, 'y': 188.433563, 'z': -3010.412109}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2341.35791, 'y': 291.995026, 'z': -3127.820801}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2945.691162, 'y': 385.428375, 'z': -3404.901611}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3276.248535, 'y': 358.183105, 'z': -3628.817871}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3053.183838, 'y': 494.906647, 'z': -3603.700439}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2989.410645, 'y': 593.947815, 'z': -3749.572021}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2313.671631, 'y': 286.188141, 'z': -3132.052002}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2639.362061, 'y': 325.15686, 'z': -3478.621094}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2577.255127, 'y': 432.410553, 'z': -3563.85376}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3023.600586, 'y': 459.738281, 'z': -3550.015625}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2251.894775, 'y': 251.599182, 'z': -3154.821045}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2650.094971, 'y': 343.700104, 'z': -3378.762451}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3038.195557, 'y': 174.126434, 'z': -2951.981445}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3328.750488, 'y': 443.977478, 'z': -4009.92627}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2933.976807, 'y': 390.167236, 'z': -3411.536377}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2561.247803, 'y': 428.965637, 'z': -3591.308838}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3428.66333, 'y': 396.092987, 'z': -4017.840576}, 'level_range': {'x': 39.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2636.250488, 'y': 301.163605, 'z': -3200.577393}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3043.344727, 'y': 603.377258, 'z': -3875.435547}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2470.273193, 'y': 370.720612, 'z': -3577.308838}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2711.50708, 'y': 327.504364, 'z': -3415.392334}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3078.018799, 'y': 418.852661, 'z': -3532.116211}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2692.134766, 'y': 414.64563, 'z': -3582.873535}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3027.159912, 'y': 173.88002, 'z': -2940.130859}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3044.453613, 'y': 411.896393, 'z': -3491.013184}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2734.673828, 'y': 259.040161, 'z': -3107.323975}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2728.133301, 'y': 307.25061, 'z': -3283.911865}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2479.958984, 'y': 337.401459, 'z': -3477.139404}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2561.050293, 'y': 359.424774, 'z': -3317.537109}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2848.352783, 'y': 251.20163, 'z': -3124.686768}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2480.09082, 'y': 388.641327, 'z': -3617.589355}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2885.638672, 'y': 419.201385, 'z': -3436.268799}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2951.456055, 'y': 184.816696, 'z': -2928.494873}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3068.134766, 'y': 177.823822, 'z': -2986.834961}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2986.144287, 'y': 171.094681, 'z': -2869.448242}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2969.383545, 'y': 200.024414, 'z': -2790.116943}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3328.518066, 'y': 448.671722, 'z': -3908.28833}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3143.259033, 'y': 549.819092, 'z': -3920.582031}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3051.189209, 'y': 200.037155, 'z': -2671.144043}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2783.568115, 'y': 236.072525, 'z': -3081.252441}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2463.531006, 'y': 379.823944, 'z': -3602.551758}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2426.616699, 'y': 307.733002, 'z': -3147.090332}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'ruins', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2578.921875, 'y': 456.764984, 'z': -3641.088379}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
