{'position': {'x': 3348.127197, 'y': 140.944672, 'z': -3218.058838}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3351.596924, 'y': 164.652374, 'z': -3467.455566}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3337.293945, 'y': 163.198029, 'z': -3354.173584}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3312.56543, 'y': 138.721481, 'z': -3244.677246}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3367.275391, 'y': 164.481201, 'z': -3484.031006}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3317.698486, 'y': 160.840775, 'z': -3350.811279}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3381.314453, 'y': 164.499786, 'z': -3594.749268}, 'level_range': {'x': 30.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3242.306152, 'y': 161.686432, 'z': -3426.755859}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3366.267334, 'y': 163.248932, 'z': -3353.112061}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3302.802979, 'y': 141.989838, 'z': -3286.204834}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3374.476074, 'y': 172.416428, 'z': -3532.108643}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3351.329834, 'y': 139.487381, 'z': -3298.916992}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3402.512451, 'y': 172.308121, 'z': -3505.923584}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3223.224121, 'y': 165.325638, 'z': -3413.269043}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3447.27832, 'y': 165.719971, 'z': -3458.495117}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3492.212158, 'y': 164.988098, 'z': -3455.3125}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3363.03833, 'y': 164.94577, 'z': -3370.913574}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3301.365479, 'y': 165.285843, 'z': -3434.05542}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3460.501953, 'y': 160.479492, 'z': -3486.189941}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3346.053711, 'y': 165.113022, 'z': -3377.39502}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3554.957031, 'y': 165.049133, 'z': -3497.90332}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3397.76001, 'y': 164.914139, 'z': -3363.844482}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3165.954834, 'y': 144.269867, 'z': -3316.199707}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3377.459961, 'y': 164.410965, 'z': -3359.404297}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3410.159424, 'y': 164.550415, 'z': -3576.820557}, 'level_range': {'x': 30.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3247.543213, 'y': 165.124954, 'z': -3462.686523}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3190.56543, 'y': 159.970016, 'z': -3374.980713}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3166.099609, 'y': 159.969177, 'z': -3396.960938}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3316.827637, 'y': 167.632751, 'z': -3507.710693}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3211.472168, 'y': 162.469254, 'z': -3440.318604}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3379.705322, 'y': 172.188446, 'z': -3514.91333}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3315.273438, 'y': 165.17189, 'z': -3421.016846}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3272.216797, 'y': 166.622269, 'z': -3505.134277}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3381.5979, 'y': 171.76532, 'z': -3517.2229}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3416.107666, 'y': 164.970764, 'z': -3377.507813}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3193.828369, 'y': 150.468414, 'z': -3332.641357}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3408.244873, 'y': 165.408798, 'z': -3547.978516}, 'level_range': {'x': 30.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3297.692383, 'y': 165.207352, 'z': -3490.964111}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3312.023193, 'y': 165.262039, 'z': -3444.737793}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3372.975586, 'y': 164.957581, 'z': -3369.316406}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3482.350586, 'y': 164.84671, 'z': -3458.864746}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3434.325195, 'y': 163.373779, 'z': -3349.452148}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3189.975586, 'y': 162.943314, 'z': -3453.757568}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3381.14917, 'y': 135.200394, 'z': -3276.100342}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3334.041016, 'y': 150.003052, 'z': -3126.549316}, 'level_range': {'x': 25.0, 'y': 27.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3341.779053, 'y': 164.258072, 'z': -3361.347656}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3336.770752, 'y': 136.498108, 'z': -3247.412842}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3223.283936, 'y': 165.323196, 'z': -3484.678955}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3403.19751, 'y': 173.118805, 'z': -3501.489502}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3374.759766, 'y': 165.189102, 'z': -3504.567627}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3367.025879, 'y': 164.481201, 'z': -3503.372803}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3402.948242, 'y': 165.080399, 'z': -3574.599609}, 'level_range': {'x': 30.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3199.960205, 'y': 144.965836, 'z': -3309.678223}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3238.008301, 'y': 144.490158, 'z': -3316.217041}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3463.181641, 'y': 165.525101, 'z': -3363.843994}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3410.132813, 'y': 157.318787, 'z': -3307.210693}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3195.415771, 'y': 159.011642, 'z': -3366.039551}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3256.313232, 'y': 165.607437, 'z': -3381.532715}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3285.765869, 'y': 168.671951, 'z': -3505.357422}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3339.466797, 'y': 143.492752, 'z': -3313.524902}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3217.094727, 'y': 145.605545, 'z': -3268.901367}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3228.481934, 'y': 144.836502, 'z': -3260.201904}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3369.827881, 'y': 158.58931, 'z': -3409.955566}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3396.928711, 'y': 157.895752, 'z': -3403.339355}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3520.220947, 'y': 165.300949, 'z': -3538.811035}, 'level_range': {'x': 30.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3218.232666, 'y': 165.092651, 'z': -3421.823486}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3271.009766, 'y': 160.997025, 'z': -3416.173828}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3415.194092, 'y': 137.150986, 'z': -3274.165771}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3469.299561, 'y': 156.139343, 'z': -3388.361084}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3465.749756, 'y': 164.16362, 'z': -3512.514893}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3357.570557, 'y': 164.481201, 'z': -3495.274414}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3478.685059, 'y': 164.959717, 'z': -3413.479248}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3403.798096, 'y': 171.220474, 'z': -3510.300293}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3414.378174, 'y': 165.065811, 'z': -3443.949951}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3400.04126, 'y': 165.074829, 'z': -3460.39209}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3336.151611, 'y': 150.241241, 'z': -3169.731201}, 'level_range': {'x': 25.0, 'y': 27.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3417.460938, 'y': 161.78804, 'z': -3338.681152}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3434.221436, 'y': 148.287369, 'z': -3308.28833}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3335.557861, 'y': 150.003052, 'z': -3146.116211}, 'level_range': {'x': 25.0, 'y': 27.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3389.148682, 'y': 135.261459, 'z': -3264.839844}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3186.771973, 'y': 163.923767, 'z': -3408.819092}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3381.140137, 'y': 172.454483, 'z': -3513.518066}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3522.054932, 'y': 165.389069, 'z': -3493.870117}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3360.88916, 'y': 164.481201, 'z': -3486.795654}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3388.143311, 'y': 164.780441, 'z': -3362.200439}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3313.757813, 'y': 164.847244, 'z': -3454.670654}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
