{'position': {'x': 645.118103, 'y': 308.577362, 'z': -2312.565186}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 440.193604, 'y': 269.658752, 'z': -2392.044922}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1603.919556, 'y': 201.14212, 'z': -2954.168213}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1611.119751, 'y': 197.075165, 'z': -3112.614502}, 'level_range': {'x': 17.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 790.147339, 'y': 255.937439, 'z': -2034.461792}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 625.13147, 'y': 27.0, 'z': -1770.498657}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 1154.511963, 'y': 262.357452, 'z': -2323.339111}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 490.286926, 'y': 205.239105, 'z': -2597.474609}, 'level_range': {'x': 17.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 551.111938, 'y': 369.554657, 'z': -2317.59082}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1213.608765, 'y': 156.038681, 'z': -1759.726929}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 905.414185, 'y': 201.916626, 'z': -1480.122437}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1076.341797, 'y': 160.134674, 'z': -1778.783936}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1403.124878, 'y': 251.843933, 'z': -2148.87793}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 673.48114, 'y': 27.0, 'z': -1586.784668}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 1667.463623, 'y': 250.231613, 'z': -2717.067383}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1270.953247, 'y': 157.167938, 'z': -2016.732178}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 1319.232178, 'y': 200.500671, 'z': -2568.955811}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1472.592285, 'y': 203.750076, 'z': -2080.416748}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1311.627319, 'y': 166.896103, 'z': -2106.313477}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1168.016479, 'y': 247.421097, 'z': -2504.086426}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 692.499817, 'y': 300.654572, 'z': -2298.06958}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 946.744873, 'y': 204.020767, 'z': -1568.797119}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 957.856628, 'y': 204.251846, 'z': -2498.952637}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1805.954956, 'y': 207.837387, 'z': -2749.318604}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 624.046936, 'y': 332.61618, 'z': -2197.592529}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1223.196777, 'y': 177.209503, 'z': -2129.04541}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1578.75354, 'y': 250.184052, 'z': -2370.623047}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1218.916382, 'y': 237.062897, 'z': -2401.007324}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1517.362671, 'y': 251.822281, 'z': -2356.848633}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1687.343628, 'y': 200.386795, 'z': -2859.74292}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 588.024414, 'y': 345.513306, 'z': -2242.514893}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1040.683716, 'y': 152.522659, 'z': -1388.439941}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 869.665894, 'y': 283.553131, 'z': -2191.018555}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 993.210571, 'y': 160.697388, 'z': -1760.673462}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1226.812744, 'y': 236.552414, 'z': -2483.032715}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'ruins', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1597.93457, 'y': 250.066864, 'z': -2336.871826}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1070.285522, 'y': 194.816864, 'z': -2128.280273}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 423.429504, 'y': 205.794357, 'z': -2531.019531}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1108.621582, 'y': 156.957794, 'z': -1669.357178}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 628.356812, 'y': 27.0, 'z': -1689.489014}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 1612.636108, 'y': 194.449692, 'z': -2994.483887}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 405.503845, 'y': 251.693817, 'z': -2115.720215}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 475.746674, 'y': 283.822357, 'z': -2060.132813}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1123.411255, 'y': 158.356308, 'z': -1676.611328}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 677.005859, 'y': 224.336472, 'z': -2552.940186}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 432.466522, 'y': 27.0, 'z': -1928.128052}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 735.295227, 'y': 291.178192, 'z': -2050.313477}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1457.525391, 'y': 263.144928, 'z': -2381.700928}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1644.838989, 'y': 215.886566, 'z': -2797.311523}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 534.916321, 'y': 319.539001, 'z': -2399.398926}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1779.500732, 'y': 209.169937, 'z': -2771.851807}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1110.740967, 'y': 168.32695, 'z': -1851.97583}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 434.518341, 'y': 255.55899, 'z': -2058.323486}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1131.671997, 'y': 261.961334, 'z': -2323.140137}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 952.056396, 'y': 238.609497, 'z': -1974.119141}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1258.304321, 'y': 305.049133, 'z': -2287.907959}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1631.47998, 'y': 201.325897, 'z': -3065.062012}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1274.094116, 'y': 301.031006, 'z': -2311.661865}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 793.271606, 'y': 281.217926, 'z': -2112.876221}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1008.901123, 'y': 202.083099, 'z': -2525.185303}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1280.911255, 'y': 200.360138, 'z': -2511.304199}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1007.817871, 'y': 202.070786, 'z': -2163.105713}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1529.191406, 'y': 152.929291, 'z': -2045.180176}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1243.659546, 'y': 236.174377, 'z': -2418.455566}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 989.737122, 'y': 225.138519, 'z': -1693.333618}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 691.466553, 'y': 299.758209, 'z': -2263.797852}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1682.842041, 'y': 299.088745, 'z': -2426.513184}, 'level_range': {'x': 15.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1136.33252, 'y': 198.802444, 'z': -2585.322021}, 'level_range': {'x': 15.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1561.08313, 'y': 251.376968, 'z': -2422.062012}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 801.162598, 'y': 279.44931, 'z': -2117.461426}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 557.420044, 'y': 368.462158, 'z': -2326.378906}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 669.758789, 'y': 27.0, 'z': -1569.063232}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 424.25885, 'y': 344.688843, 'z': -2288.530518}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 408.021606, 'y': 270.162109, 'z': -2424.478271}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 654.797485, 'y': 27.0, 'z': -1669.360474}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 978.493164, 'y': 211.99437, 'z': -2405.979248}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 955.596985, 'y': 201.712692, 'z': -1553.356689}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1430.796265, 'y': 151.123993, 'z': -2005.900879}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1212.73645, 'y': 236.646118, 'z': -2453.269775}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'ruins', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 549.13092, 'y': 319.570129, 'z': -2417.914063}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1215.573608, 'y': 155.382172, 'z': -1770.782837}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 941.690735, 'y': 201.739532, 'z': -2501.448975}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 939.347046, 'y': 216.225037, 'z': -2448.41626}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1776.577515, 'y': 210.610764, 'z': -2761.812988}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1696.967407, 'y': 250.917725, 'z': -2680.710693}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 788.063171, 'y': 199.660126, 'z': -1702.210449}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1105.906738, 'y': 173.735901, 'z': -1886.175781}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1341.448608, 'y': 245.560425, 'z': -2338.789063}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1174.754395, 'y': 251.793503, 'z': -2373.600342}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1503.181763, 'y': 152.336487, 'z': -2001.156372}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1234.682129, 'y': 154.091141, 'z': -1792.688477}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1489.353271, 'y': 151.414597, 'z': -1956.686523}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1491.119141, 'y': 251.006973, 'z': -2342.441895}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 414.905029, 'y': 343.923584, 'z': -2291.085205}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 657.177429, 'y': 224.534424, 'z': -2569.731689}, 'level_range': {'x': 17.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 934.876587, 'y': 164.743942, 'z': -1774.459839}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 235.309586, 'y': 27.0, 'z': -2290.516846}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 1086.309204, 'y': 189.45842, 'z': -2101.125732}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1125.008423, 'y': 153.104935, 'z': -1614.509644}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 389.520691, 'y': 207.545364, 'z': -2495.428711}, 'level_range': {'x': 15.0, 'y': 19.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1349.447144, 'y': 154.620682, 'z': -2006.248901}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1257.292603, 'y': 237.990799, 'z': -2498.916016}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'ruins', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 803.56012, 'y': 200.320313, 'z': -2515.044189}, 'level_range': {'x': 15.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1263.862671, 'y': 133.062775, 'z': -1836.043335}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1157.149536, 'y': 184.405411, 'z': -2124.970703}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 523.351929, 'y': 288.302521, 'z': -2125.952637}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 510.932465, 'y': 27.0, 'z': -1844.197632}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 1592.232544, 'y': 249.856003, 'z': -2339.04834}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1729.486694, 'y': 252.322189, 'z': -2571.841309}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 744.379944, 'y': 262.287659, 'z': -1895.362793}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1231.309448, 'y': 157.401306, 'z': -1768.339111}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1422.426636, 'y': 252.084488, 'z': -2208.352539}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 745.854065, 'y': 308.179047, 'z': -2127.667969}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 930.9104, 'y': 207.171616, 'z': -2483.948242}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1002.274109, 'y': 225.889511, 'z': -1605.966797}, 'level_range': {'x': 13.0, 'y': 15.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 543.965027, 'y': 345.513336, 'z': -2232.370117}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 700.03302, 'y': 27.0, 'z': -1585.572266}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 253.09317, 'y': 27.0, 'z': -2204.781494}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 1350.770996, 'y': 178.797577, 'z': -2790.318359}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1262.838379, 'y': 293.194427, 'z': -2388.425293}, 'level_range': {'x': 14.0, 'y': 18.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
