{'position': {'x': 1145.618408, 'y': 66.483757, 'z': -3404.503418}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 776.663513, 'y': 109.297729, 'z': -3053.49292}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 733.464355, 'y': 67.377953, 'z': -3290.182617}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1413.746582, 'y': 97.004349, 'z': -3400.919922}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 736.934753, 'y': 65.154846, 'z': -3342.41626}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'yuki', 'area_no': 11}
{'position': {'x': 500.824646, 'y': 27.0, 'z': -2931.540283}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 473.393005, 'y': 27.0, 'z': -3248.254395}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 860.727295, 'y': 82.120041, 'z': -3322.805176}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1226.957031, 'y': 163.546234, 'z': -3253.32959}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1282.15271, 'y': 163.479294, 'z': -3307.578125}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1003.612976, 'y': 70.273544, 'z': -3356.721436}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 878.112183, 'y': 100.204964, 'z': -3153.98877}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 11}
{'position': {'x': 1177.21106, 'y': 68.638458, 'z': -3380.714355}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 605.715637, 'y': 46.22728, 'z': -3439.07959}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 717.045654, 'y': 95.007599, 'z': -3054.158203}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1040.783691, 'y': 165.998413, 'z': -3256.000732}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1255.901611, 'y': 163.523163, 'z': -3196.029785}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 486.65683, 'y': 27.0, 'z': -3223.054443}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 1434.393555, 'y': 179.736847, 'z': -3168.524414}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1114.802612, 'y': 163.584198, 'z': -3253.912354}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 789.039612, 'y': 94.349106, 'z': -3230.128418}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 947.413391, 'y': 71.859352, 'z': -3392.19458}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 896.968994, 'y': 73.479805, 'z': -3401.70752}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1163.860596, 'y': 163.584198, 'z': -3247.287109}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 725.881897, 'y': 99.393074, 'z': -3149.575928}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 924.481506, 'y': 101.490082, 'z': -3163.606445}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 982.972778, 'y': 100.012207, 'z': -3271.242676}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1073.24353, 'y': 163.523163, 'z': -3191.702881}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 613.834106, 'y': 81.792099, 'z': -3080.577637}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1275.708618, 'y': 163.063309, 'z': -3295.681152}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1359.700562, 'y': 103.868736, 'z': -3358.376465}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1251.420776, 'y': 163.523163, 'z': -3228.025879}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 721.379272, 'y': 95.750877, 'z': -3033.436523}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1242.116211, 'y': 71.344887, 'z': -3379.082275}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 932.052612, 'y': 99.715118, 'z': -3243.348145}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 588.40332, 'y': 68.751282, 'z': -3066.295654}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1317.327759, 'y': 74.718704, 'z': -3366.152344}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1248.224854, 'y': 71.573647, 'z': -3376.160889}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1245.458984, 'y': 164.633163, 'z': -3189.212158}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 732.422424, 'y': 99.152405, 'z': -3059.838623}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1380.484985, 'y': 179.963394, 'z': -3264.24585}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 818.215149, 'y': 97.40538, 'z': -3182.244141}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 671.787231, 'y': 61.619743, 'z': -3425.734619}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 593.294312, 'y': 70.62561, 'z': -3131.601074}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1184.618652, 'y': 163.523163, 'z': -3200.458008}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1237.575073, 'y': 163.523163, 'z': -3217.56543}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 736.200134, 'y': 99.665115, 'z': -3107.129395}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1476.546875, 'y': 180.094757, 'z': -3097.656494}, 'level_range': {'x': 22.0, 'y': 24.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 662.963257, 'y': 27.28438, 'z': -3305.625}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 784.937988, 'y': 57.514214, 'z': -3438.812988}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1276.774536, 'y': 72.645264, 'z': -3353.47583}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 597.945984, 'y': 27.0, 'z': -3265.573242}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 1489.925415, 'y': 182.028641, 'z': -3202.224609}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 837.70874, 'y': 79.20269, 'z': -3373.073975}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 791.560303, 'y': 82.856979, 'z': -3339.248535}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1091.132935, 'y': 163.874847, 'z': -3268.70459}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 651.340698, 'y': 58.102936, 'z': -3424.478271}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1354.555908, 'y': 103.063751, 'z': -3369.937256}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 813.29126, 'y': 92.142311, 'z': -3226.746094}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1070.192627, 'y': 66.752151, 'z': -3383.643799}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1149.078491, 'y': 163.584198, 'z': -3218.477783}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1454.623535, 'y': 97.004341, 'z': -3402.088135}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 661.781494, 'y': 27.0, 'z': -3273.332031}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 1403.812134, 'y': 105.300163, 'z': -3366.760498}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1096.52832, 'y': 166.119537, 'z': -3177.405273}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 687.268372, 'y': 72.020424, 'z': -3035.320068}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1284.408447, 'y': 165.31395, 'z': -3293.435303}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 627.856384, 'y': 47.514931, 'z': -3441.802246}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 531.441162, 'y': 27.0, 'z': -3399.79834}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 888.614563, 'y': 79.592194, 'z': -3323.368652}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 660.697266, 'y': 88.885284, 'z': -3094.114014}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 820.056152, 'y': 91.968811, 'z': -3245.580811}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1032.621582, 'y': 71.042931, 'z': -3373.438965}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'doro', 'area_no': 11}
{'position': {'x': 1203.279541, 'y': 71.175804, 'z': -3357.681152}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1139.328003, 'y': 164.031586, 'z': -3196.101318}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 773.617798, 'y': 95.095573, 'z': -3213.346191}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1073.979858, 'y': 163.523163, 'z': -3264.956543}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 744.611145, 'y': 101.958916, 'z': -3057.25}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 655.708557, 'y': 27.375938, 'z': -3223.02832}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 492.920502, 'y': 27.0, 'z': -3380.539795}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 829.364441, 'y': 88.792419, 'z': -3293.788818}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 468.96875, 'y': 27.0, 'z': -3401.029297}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 622.955811, 'y': 27.28438, 'z': -3330.663818}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 837.353516, 'y': 89.022636, 'z': -3287.468018}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1117.031738, 'y': 165.805252, 'z': -3317.79126}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 512.617432, 'y': 27.0, 'z': -3362.50415}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 1416.237305, 'y': 105.845459, 'z': -3359.480225}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1063.293823, 'y': 162.50528, 'z': -3292.012207}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1410.111694, 'y': 178.303772, 'z': -3171.773193}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
