{'position': {'x': 3960.262939, 'y': 256.582855, 'z': -3404.489502}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4171.439453, 'y': 229.0, 'z': -3543.628174}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4006.842285, 'y': 219.5, 'z': -3725.724609}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3961.817871, 'y': 220.014648, 'z': -3696.957031}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4100.505859, 'y': 252.639923, 'z': -3833.192139}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3991.364502, 'y': 219.5, 'z': -3685.579834}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4044.979004, 'y': 220.016235, 'z': -3679.738281}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4131.189941, 'y': 300.362793, 'z': -3835.564697}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4217.510742, 'y': 250.211563, 'z': -3393.657959}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3880.561768, 'y': 220.014648, 'z': -3712.716553}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4004.566895, 'y': 300.264771, 'z': -3356.528564}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4074.16748, 'y': 243.886642, 'z': -3446.270996}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3838.425537, 'y': 250.015259, 'z': -3452.318604}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4426.028809, 'y': 250.013046, 'z': -3396.084717}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4013.426025, 'y': 220.014648, 'z': -3708.381592}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3888.518799, 'y': 219.82666, 'z': -3746.178467}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3926.952637, 'y': 220.014648, 'z': -3701.847656}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4489.54248, 'y': 245.419006, 'z': -3271.309082}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3879.31543, 'y': 221.383072, 'z': -3680.82251}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3863.834717, 'y': 225.855255, 'z': -3657.932373}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4146.998047, 'y': 249.523544, 'z': -3789.213623}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4136.518555, 'y': 248.781128, 'z': -3792.956543}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4221.550293, 'y': 250.167847, 'z': -3418.381836}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4139.257813, 'y': 229.994507, 'z': -3591.164551}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4260.354492, 'y': 250.199753, 'z': -3440.38501}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4162.507813, 'y': 229.982056, 'z': -3560.502441}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3922.330322, 'y': 220.014648, 'z': -3703.632813}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3878.839355, 'y': 220.109497, 'z': -3704.060303}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3788.38623, 'y': 250.015259, 'z': -3415.853027}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba_kare', 'area_no': 22}
{'position': {'x': 3839.234619, 'y': 249.769379, 'z': -3469.002441}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'suna_sabaku', 'area_no': 22}
{'position': {'x': 3937.075195, 'y': 300.299988, 'z': -3552.169678}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3987.585693, 'y': 219.652817, 'z': -3692.341797}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'yuki', 'area_no': 22}
{'position': {'x': 4327.503906, 'y': 250.076294, 'z': -3408.238281}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3892.062256, 'y': 220.136536, 'z': -3784.967285}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4177.469727, 'y': 250.015259, 'z': -3753.005371}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4075.491455, 'y': 248.848969, 'z': -3496.546631}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4345.464844, 'y': 250.045776, 'z': -3395.012207}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3849.00415, 'y': 220.014648, 'z': -3725.440918}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3972.55127, 'y': 220.014648, 'z': -3644.773682}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3961.922607, 'y': 220.014648, 'z': -3693.788086}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4290.227539, 'y': 249.301544, 'z': -3449.221924}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4160.615723, 'y': 230.142853, 'z': -3465.101563}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4187.576172, 'y': 229.994507, 'z': -3486.364014}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4188.530762, 'y': 229.994507, 'z': -3445.24292}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4134.339355, 'y': 338.156311, 'z': -3693.448486}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3899.829834, 'y': 249.733643, 'z': -3446.94873}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3778.582275, 'y': 250.560059, 'z': -3551.431152}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4174.41748, 'y': 304.127502, 'z': -3867.430908}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3845.834961, 'y': 249.283356, 'z': -3463.396973}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3914.372314, 'y': 220.014648, 'z': -3667.639893}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3946.95166, 'y': 220.014648, 'z': -3665.975342}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4127.319336, 'y': 230.565582, 'z': -3345.104004}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3971.514648, 'y': 219.5, 'z': -3715.086182}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3956.107666, 'y': 220.014648, 'z': -3693.020752}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3754.925293, 'y': 250.644714, 'z': -3447.347412}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4006.984131, 'y': 249.918121, 'z': -3545.518311}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3870.61499, 'y': 249.376068, 'z': -3484.314209}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3894.224121, 'y': 249.984741, 'z': -3467.430176}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3831.196777, 'y': 250.045776, 'z': -3484.707031}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4258.421875, 'y': 335.507874, 'z': -3336.545654}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4122.528809, 'y': 235.827606, 'z': -3463.748535}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4397.62207, 'y': 293.794922, 'z': -3430.936279}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4156.183594, 'y': 250.015259, 'z': -3764.503662}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3911.573975, 'y': 220.014648, 'z': -3691.812256}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3998.22998, 'y': 220.014648, 'z': -3674.794189}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4191.208008, 'y': 229.994507, 'z': -3597.796631}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4172.487305, 'y': 229.0, 'z': -3561.414307}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3757.099609, 'y': 249.904922, 'z': -3425.732178}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4221.504883, 'y': 229.0, 'z': -3552.750244}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4208.32666, 'y': 229.0, 'z': -3552.575684}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3979.333496, 'y': 263.495972, 'z': -3395.036865}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4072.77002, 'y': 244.796432, 'z': -3810.398193}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3847.475586, 'y': 223.072159, 'z': -3682.738281}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3905.64624, 'y': 220.014648, 'z': -3766.917236}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3996.327148, 'y': 219.5, 'z': -3685.638428}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4034.49292, 'y': 219.862183, 'z': -3633.530029}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'yuki', 'area_no': 22}
{'position': {'x': 3935.83252, 'y': 252.314301, 'z': -3333.317871}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4014.780273, 'y': 309.559265, 'z': -3407.820068}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3873.147461, 'y': 220.014648, 'z': -3765.905273}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3967.54126, 'y': 220.014648, 'z': -3701.530518}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4149.459473, 'y': 229.994507, 'z': -3606.224854}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3910.218506, 'y': 219.936356, 'z': -3728.272461}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3918.213867, 'y': 220.014648, 'z': -3703.995117}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4124.848633, 'y': 245.560165, 'z': -3773.161377}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3903.345947, 'y': 220.014648, 'z': -3772.012451}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3936.745361, 'y': 250.015259, 'z': -3367.962891}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3976.76001, 'y': 220.014648, 'z': -3674.090576}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4345.640625, 'y': 249.988647, 'z': -3416.959961}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3985.921631, 'y': 220.014648, 'z': -3666.635254}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4187.844727, 'y': 249.984741, 'z': -3424.125}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3840.603271, 'y': 220.014648, 'z': -3753.357666}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4181.743164, 'y': 229.994507, 'z': -3494.814941}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4178.654297, 'y': 300.4823, 'z': -3823.001221}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4024.853027, 'y': 250.055588, 'z': -3502.615723}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3817.855957, 'y': 235.990494, 'z': -3616.405273}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3978.912109, 'y': 219.5, 'z': -3732.492188}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4159.876465, 'y': 250.015259, 'z': -3742.070557}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4142.055176, 'y': 248.234863, 'z': -3774.225098}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3776.32959, 'y': 250.3815, 'z': -3423.602051}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3850.07666, 'y': 220.014648, 'z': -3726.927246}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4150.713867, 'y': 229.994507, 'z': -3476.698242}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3851.406982, 'y': 249.984741, 'z': -3457.77417}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4192.662109, 'y': 229.994507, 'z': -3503.297119}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3998.638184, 'y': 250.266296, 'z': -3595.05542}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3893.025146, 'y': 220.001541, 'z': -3728.455566}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3979.407227, 'y': 219.5, 'z': -3727.950439}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4470.896484, 'y': 246.49115, 'z': -3268.568848}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3850.612549, 'y': 249.795822, 'z': -3449.981445}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4346.186035, 'y': 250.045776, 'z': -3468.727783}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3785.091797, 'y': 249.938232, 'z': -3401.449951}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4210.442383, 'y': 249.586258, 'z': -3436.376953}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3948.499512, 'y': 220.014648, 'z': -3682.22168}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3778.319092, 'y': 250.076294, 'z': -3443.588135}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4174.451172, 'y': 229.994507, 'z': -3581.80835}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3945.228027, 'y': 220.014648, 'z': -3686.393066}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
