{'position': {'x': 1743.685059, 'y': 162.088745, 'z': -2946.650146}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2255.095459, 'y': 145.010468, 'z': -3712.789795}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2181.522217, 'y': 134.116257, 'z': -3686.656006}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1701.220581, 'y': 97.008217, 'z': -3553.94458}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 2363.344482, 'y': 260.01358, 'z': -3737.650391}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 1747.331055, 'y': 138.688446, 'z': -3263.773926}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1885.61377, 'y': 158.703705, 'z': -3027.099609}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1770.95752, 'y': 161.861816, 'z': -2943.835449}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2104.363525, 'y': 153.042816, 'z': -3230.864502}, 'level_range': {'x': 30.0, 'y': 34.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1570.634033, 'y': 97.004349, 'z': -3492.549805}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 1884.480713, 'y': 234.900208, 'z': -2774.373047}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1774.925171, 'y': 207.453949, 'z': -2813.55957}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1842.952759, 'y': 148.595016, 'z': -3143.837891}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2055.105957, 'y': 150.455795, 'z': -3468.063721}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1895.4104, 'y': 144.380875, 'z': -3279.472168}, 'level_range': {'x': 29.0, 'y': 33.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1646.106201, 'y': 100.332527, 'z': -3504.398682}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1642.888184, 'y': 121.743591, 'z': -3217.76001}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1839.341309, 'y': 152.028839, 'z': -3115.847168}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2190.115967, 'y': 150.086487, 'z': -3454.32666}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1829.519653, 'y': 207.180237, 'z': -2786.789551}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2007.060913, 'y': 152.963425, 'z': -3116.139404}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1975.486694, 'y': 202.855896, 'z': -2959.921387}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1913.983154, 'y': 154.106689, 'z': -3100.136475}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2252.446533, 'y': 143.482956, 'z': -3628.776855}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1975.981323, 'y': 180.607773, 'z': -3007.456299}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2202.237549, 'y': 199.993896, 'z': -3228.938965}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2216.8396, 'y': 161.538849, 'z': -3375.407227}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2057.372314, 'y': 151.45546, 'z': -3319.967285}, 'level_range': {'x': 31.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1764.04126, 'y': 136.209595, 'z': -3208.118408}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1874.519653, 'y': 162.131775, 'z': -2963.915283}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1721.087524, 'y': 107.091095, 'z': -3421.719238}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1872.530762, 'y': 147.622192, 'z': -3422.346436}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1767.645752, 'y': 136.412033, 'z': -3226.76001}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2170.881348, 'y': 144.632065, 'z': -3566.323486}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1983.929443, 'y': 139.718399, 'z': -3537.583008}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 1887.352783, 'y': 157.784576, 'z': -3034.45874}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2379.464111, 'y': 200.024414, 'z': -3308.449219}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1799.809692, 'y': 115.058289, 'z': -3496.77002}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2055.272461, 'y': 151.873428, 'z': -3381.878418}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1709.546509, 'y': 106.154114, 'z': -3425.621094}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2292.548584, 'y': 150.866714, 'z': -3594.500732}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2226.606689, 'y': 147.118851, 'z': -3533.533447}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1546.596313, 'y': 107.713974, 'z': -3289.255615}, 'level_range': {'x': 30.0, 'y': 33.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1766.261963, 'y': 102.410316, 'z': -3517.801025}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1960.023071, 'y': 144.879227, 'z': -3472.737061}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 1905.376709, 'y': 232.603836, 'z': -2794.090088}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1822.857788, 'y': 145.651886, 'z': -3151.95459}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 1664.585449, 'y': 175.324036, 'z': -3070.880371}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2303.595459, 'y': 195.481064, 'z': -3311.710693}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1787.946899, 'y': 102.919151, 'z': -3529.931396}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1818.896973, 'y': 146.142868, 'z': -3469.798828}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2007.359253, 'y': 199.827606, 'z': -2990.075439}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1715.319336, 'y': 104.691772, 'z': -3443.456299}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2261.388184, 'y': 184.519608, 'z': -3267.74292}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2015.86731, 'y': 199.62767, 'z': -3003.911621}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1764.045166, 'y': 139.68573, 'z': -3254.641113}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1957.995972, 'y': 153.768143, 'z': -3368.782227}, 'level_range': {'x': 31.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2153.159424, 'y': 149.257141, 'z': -3467.411621}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1818.547607, 'y': 143.35022, 'z': -3222.726563}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1755.17334, 'y': 154.400787, 'z': -3024.56958}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2120.033203, 'y': 135.450928, 'z': -3721.325195}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1912.385742, 'y': 153.044373, 'z': -3131.924072}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1755.623779, 'y': 108.420303, 'z': -3434.024902}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1724.94165, 'y': 186.136597, 'z': -2867.628174}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1676.020264, 'y': 178.986664, 'z': -2964.697021}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1765.888794, 'y': 142.689804, 'z': -3273.753418}, 'level_range': {'x': 29.0, 'y': 33.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1701.16748, 'y': 104.520279, 'z': -3469.108887}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2228.615967, 'y': 165.290146, 'z': -3762.253662}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1758.098022, 'y': 142.350021, 'z': -3117.228271}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2252.1875, 'y': 165.095261, 'z': -3766.163574}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1648.20813, 'y': 153.779053, 'z': -3142.597656}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2116.494873, 'y': 198.010132, 'z': -3072.558838}, 'level_range': {'x': 29.0, 'y': 33.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1648.146851, 'y': 150.98967, 'z': -3355.91626}, 'level_range': {'x': 31.0, 'y': 34.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1870.761841, 'y': 146.140244, 'z': -3241.739502}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2057.181396, 'y': 152.963425, 'z': -3168.158691}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1582.804321, 'y': 135.242767, 'z': -3373.540283}, 'level_range': {'x': 31.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2087.40918, 'y': 139.915802, 'z': -3606.504883}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 2053.666016, 'y': 146.76799, 'z': -3541.191895}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1818.365234, 'y': 160.898285, 'z': -2999.858887}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2163.388428, 'y': 169.627335, 'z': -3331.320557}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1807.641968, 'y': 148.401672, 'z': -3129.101318}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2195.893311, 'y': 154.343185, 'z': -3839.356445}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2031.095825, 'y': 199.835434, 'z': -2964.0896}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 2013.471558, 'y': 139.149292, 'z': -3434.980225}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2311.996094, 'y': 145.180008, 'z': -3657.667969}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2161.067383, 'y': 136.976044, 'z': -3782.437012}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1985.466431, 'y': 226.043121, 'z': -2904.022461}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2075.784912, 'y': 139.739639, 'z': -3468.919678}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2303.698975, 'y': 195.962341, 'z': -3876.348145}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1654.227783, 'y': 147.20636, 'z': -3272.749512}, 'level_range': {'x': 29.0, 'y': 33.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2023.084473, 'y': 152.584, 'z': -3406.040039}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2222.666504, 'y': 182.945679, 'z': -3350.04248}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2022.863647, 'y': 152.664688, 'z': -3405.013184}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2233.177734, 'y': 142.972626, 'z': -3629.459473}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2273.283203, 'y': 143.667816, 'z': -3634.417969}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2041.439453, 'y': 147.757843, 'z': -3495.88208}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2158.1604, 'y': 145.641708, 'z': -3542.89209}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1939.757935, 'y': 154.009567, 'z': -3071.743896}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1666.384277, 'y': 124.08815, 'z': -3221.700439}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1805.457642, 'y': 126.219727, 'z': -3324.834717}, 'level_range': {'x': 30.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1718.702881, 'y': 187.163391, 'z': -2854.840332}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1966.154907, 'y': 98.787399, 'z': -3588.481445}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 1830.600098, 'y': 160.007584, 'z': -2982.320068}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 1793.768555, 'y': 149.939575, 'z': -3064.315186}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1850.020874, 'y': 147.976898, 'z': -3363.134521}, 'level_range': {'x': 31.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 2115.537109, 'y': 146.785965, 'z': -3516.352539}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2026.682007, 'y': 199.775238, 'z': -2973.154297}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2067.068359, 'y': 198.392349, 'z': -3006.545898}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2076.563477, 'y': 151.202774, 'z': -3366.925537}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2067.953857, 'y': 151.075806, 'z': -3401.070068}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1709.400879, 'y': 148.277481, 'z': -3094.365234}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2090.44458, 'y': 156.629791, 'z': -3293.958984}, 'level_range': {'x': 31.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2174.635254, 'y': 128.234268, 'z': -3646.33252}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 2163.5979, 'y': 149.619354, 'z': -3480.59082}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2009.642212, 'y': 152.652725, 'z': -3419.010254}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1905.649292, 'y': 152.963425, 'z': -3143.994629}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1798.020386, 'y': 207.300064, 'z': -2802.269043}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2377.404297, 'y': 260.020813, 'z': -3743.757568}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 12}
{'position': {'x': 2065.139648, 'y': 153.448044, 'z': -3160.380615}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1589.651978, 'y': 134.744858, 'z': -3396.785889}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1733.968262, 'y': 180.966187, 'z': -2895.091553}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2256.672363, 'y': 160.255127, 'z': -3394.062744}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2148.927734, 'y': 167.994049, 'z': -3335.685791}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2156.05127, 'y': 127.296585, 'z': -3828.998047}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1661.141968, 'y': 152.395706, 'z': -3133.50415}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1977.05542, 'y': 152.87561, 'z': -3106.19751}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1893.942871, 'y': 161.268112, 'z': -3010.51001}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2121.986572, 'y': 147.031448, 'z': -3512.847168}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1825.032349, 'y': 206.811707, 'z': -2795.78833}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1872.150635, 'y': 151.930786, 'z': -3159.177979}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2217.583496, 'y': 199.993896, 'z': -3223.654541}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1670.040039, 'y': 180.893753, 'z': -2934.134033}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2128.519043, 'y': 157.289215, 'z': -3172.202637}, 'level_range': {'x': 30.0, 'y': 34.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 12}
