{'position': {'x': 1000.90564, 'y': 161.346558, 'z': -2831.185791}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1045.336426, 'y': 148.311142, 'z': -2997.764404}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1241.808716, 'y': 156.242905, 'z': -2861.678955}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 833.025085, 'y': 153.57843, 'z': -2758.087402}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 670.432922, 'y': 152.005173, 'z': -2700.391357}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1284.703491, 'y': 153.122284, 'z': -3046.369873}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1350.568359, 'y': 150.615097, 'z': -3007.075195}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 874.104126, 'y': 155.132828, 'z': -2626.816895}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1363.898682, 'y': 152.215179, 'z': -3056.383545}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1339.112427, 'y': 152.509872, 'z': -2842.826416}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 955.295593, 'y': 157.441223, 'z': -2900.264404}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
