{'position': {'x': 738.963806, 'y': 369.306793, 'z': -1210.239258}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 827.820007, 'y': 386.052979, 'z': -1211.025635}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1103.078613, 'y': 394.178986, 'z': -1259.930908}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1182.410645, 'y': 341.296997, 'z': -1163.369751}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 541.971313, 'y': 263.626434, 'z': -943.089478}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 715.863525, 'y': 377.820343, 'z': -997.777832}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 611.241821, 'y': 354.004852, 'z': -1176.802124}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 663.870911, 'y': 363.255554, 'z': -1159.328003}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1019.88562, 'y': 398.282562, 'z': -1261.163818}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 654.093628, 'y': 320.030792, 'z': -887.010376}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 599.713501, 'y': 332.860657, 'z': -988.103455}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 767.591797, 'y': 298.067261, 'z': -763.274658}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 895.164734, 'y': 293.956451, 'z': -1370.241821}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 589.285339, 'y': 353.263397, 'z': -1166.683228}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 519.984253, 'y': 242.137329, 'z': -1009.661865}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 657.44635, 'y': 342.329865, 'z': -1011.583191}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 583.759094, 'y': 346.580658, 'z': -1070.236938}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1049.506104, 'y': 393.137268, 'z': -1240.687866}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 613.491882, 'y': 347.983215, 'z': -1134.616577}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1126.078857, 'y': 394.460968, 'z': -1273.354126}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 557.266174, 'y': 176.523773, 'z': -773.486023}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 493.343842, 'y': 228.804245, 'z': -1074.366577}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 512.6521, 'y': 241.937225, 'z': -1016.140442}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 543.624695, 'y': 253.637497, 'z': -963.950989}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1234.315063, 'y': 265.391571, 'z': -1328.176147}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 911.906006, 'y': 401.819397, 'z': -1261.762207}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 5}
{'position': {'x': 724.772034, 'y': 362.385223, 'z': -1172.362061}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 733.059509, 'y': 363.637604, 'z': -1186.99939}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 635.433716, 'y': 355.903046, 'z': -1179.619751}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 477.737701, 'y': 215.788177, 'z': -945.1922}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 451.931274, 'y': 198.670059, 'z': -981.728882}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 637.025146, 'y': 356.730499, 'z': -1181.732056}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 658.986938, 'y': 329.812469, 'z': -954.420532}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 565.939209, 'y': 183.443436, 'z': -782.852417}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 963.393982, 'y': 402.670471, 'z': -1237.022949}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 848.655212, 'y': 392.322998, 'z': -1245.369141}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1212.296509, 'y': 264.622101, 'z': -1351.7146}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 982.273804, 'y': 400.126617, 'z': -1300.803955}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 987.544067, 'y': 397.240021, 'z': -1247.036621}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 477.823456, 'y': 216.038803, 'z': -930.855713}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 572.148743, 'y': 274.219849, 'z': -890.236633}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 702.575073, 'y': 362.145355, 'z': -1196.239868}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 821.233948, 'y': 448.689545, 'z': -943.189392}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 780.0849, 'y': 372.882996, 'z': -1179.14502}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 5}
{'position': {'x': 696.446289, 'y': 362.982025, 'z': -1203.257202}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 533.793335, 'y': 228.199997, 'z': -1193.230225}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1013.876038, 'y': 396.994293, 'z': -1256.66394}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 502.339111, 'y': 209.424133, 'z': -965.657715}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 506.339386, 'y': 215.436722, 'z': -888.11853}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 436.848572, 'y': 198.800262, 'z': -997.071777}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1022.106384, 'y': 398.705963, 'z': -1208.276733}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 696.130005, 'y': 357.783783, 'z': -1044.64502}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1125.296875, 'y': 430.441742, 'z': -1076.447632}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 991.846313, 'y': 400.441681, 'z': -1272.592407}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 670.240662, 'y': 353.131287, 'z': -1109.240845}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 5}
{'position': {'x': 772.652588, 'y': 375.623505, 'z': -1137.96521}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 748.627625, 'y': 370.856506, 'z': -1167.571899}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1105.775024, 'y': 394.010742, 'z': -1274.723511}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1035.246582, 'y': 393.673035, 'z': -1248.07666}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 637.472534, 'y': 214.187973, 'z': -782.111633}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1352.13855, 'y': 195.383408, 'z': -991.279541}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1354.4198, 'y': 255.380753, 'z': -1093.233398}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1199.60437, 'y': 419.942383, 'z': -1120.637817}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 666.463928, 'y': 360.338226, 'z': -1116.843506}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1072.919556, 'y': 392.899994, 'z': -1232.234375}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 5}
{'position': {'x': 685.690857, 'y': 357.764801, 'z': -1050.4198}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 902.716125, 'y': 402.556458, 'z': -1247.814087}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 516.222778, 'y': 228.86528, 'z': -1118.424072}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 785.27179, 'y': 377.721405, 'z': -1215.047119}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 496.785522, 'y': 215.689499, 'z': -891.677979}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1069.368774, 'y': 397.767761, 'z': -1292.690063}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1076.041382, 'y': 397.942993, 'z': -1172.61377}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'kawasuna', 'area_no': 5}
{'position': {'x': 946.366028, 'y': 401.662842, 'z': -1295.251465}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 5}
{'position': {'x': 653.281372, 'y': 330.97229, 'z': -971.936401}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 668.17688, 'y': 315.153503, 'z': -848.92041}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 708.25354, 'y': 296.435333, 'z': -1281.422363}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 766.529602, 'y': 371.014282, 'z': -1173.39624}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'kawasuna', 'area_no': 5}
{'position': {'x': 659.15509, 'y': 331.950714, 'z': -974.40863}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1086.332275, 'y': 398.580505, 'z': -1185.402466}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 559.384766, 'y': 175.93721, 'z': -771.437744}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 648.790894, 'y': 372.427002, 'z': -1259.30542}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 977.794739, 'y': 400.59613, 'z': -1294.504883}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 889.703979, 'y': 293.702759, 'z': -1362.702393}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 616.928833, 'y': 334.055389, 'z': -988.376465}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 694.647156, 'y': 315.592041, 'z': -857.077637}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 696.840393, 'y': 351.777435, 'z': -1087.859253}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1116.116455, 'y': 312.281006, 'z': -1319.612915}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 665.215515, 'y': 331.815704, 'z': -966.387024}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1229.689575, 'y': 264.848785, 'z': -1360.837769}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 731.735413, 'y': 384.819092, 'z': -1041.740356}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1321.752319, 'y': 266.837311, 'z': -1122.142822}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1324.224609, 'y': 228.284637, 'z': -1208.236816}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 812.141968, 'y': 218.067337, 'z': -1384.933594}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1114.278442, 'y': 431.273468, 'z': -1068.650879}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1140.160034, 'y': 434.194214, 'z': -1089.022705}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 670.182556, 'y': 362.157959, 'z': -1178.487549}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1049.286621, 'y': 393.499298, 'z': -1236.073853}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 672.928223, 'y': 324.386749, 'z': -909.322998}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 701.955566, 'y': 361.59137, 'z': -1184.813232}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 691.754211, 'y': 364.184906, 'z': -1192.082886}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 805.509033, 'y': 388.965668, 'z': -1250.428467}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 640.847046, 'y': 360.13385, 'z': -1193.395508}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1046.289673, 'y': 393.65802, 'z': -1249.870117}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 635.989075, 'y': 338.862091, 'z': -1027.83667}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1091.987549, 'y': 395.202118, 'z': -1203.454712}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 771.478577, 'y': 374.366089, 'z': -1220.207886}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1053.979248, 'y': 393.242981, 'z': -1242.909668}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 862.891296, 'y': 393.599457, 'z': -1247.345825}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 968.352905, 'y': 399.066986, 'z': -1288.096802}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 727.7276, 'y': 301.365417, 'z': -783.694641}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 581.152954, 'y': 336.957123, 'z': -1042.098755}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 682.243164, 'y': 318.350403, 'z': -877.667419}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 946.087036, 'y': 401.004364, 'z': -1286.158203}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 1124.207764, 'y': 395.572388, 'z': -1254.754395}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 663.179626, 'y': 284.562317, 'z': -1317.674683}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 696.459106, 'y': 305.902466, 'z': -820.346375}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
{'position': {'x': 644.60199, 'y': 361.508759, 'z': -1138.381958}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 5}
